INFO Resuming: 3 samples already recorded in qwen2.5vl_7b_test.jsonl
INFO Model=qwen2.5vl:7b split=test size=224 | 156 samples (153 remaining)
INFO   [  4/156] gold=BENIGN    pred=BENIGN    p_mal=0.083   7.7s | ETA 5 min
INFO   [  5/156] gold=BENIGN    pred=BENIGN    p_mal=0.060   9.2s | ETA 9 min
INFO   [  6/156] gold=BENIGN    pred=BENIGN    p_mal=0.035   8.8s | ETA 11 min
INFO   [  7/156] gold=MALIGNANT pred=BENIGN    p_mal=0.120   9.3s | ETA 12 min
INFO   [  8/156] gold=MALIGNANT pred=BENIGN    p_mal=0.023  10.2s | ETA 14 min
INFO   [  9/156] gold=BENIGN    pred=BENIGN    p_mal=0.011   9.2s | ETA 15 min
INFO   [ 10/156] gold=BENIGN    pred=BENIGN    p_mal=0.071   8.6s | ETA 15 min
INFO   [ 11/156] gold=MALIGNANT pred=BENIGN    p_mal=0.034   9.8s | ETA 16 min
INFO   [ 12/156] gold=MALIGNANT pred=BENIGN    p_mal=0.058   9.4s | ETA 16 min
INFO   [ 13/156] gold=BENIGN    pred=BENIGN    p_mal=0.042   8.8s | ETA 17 min
INFO   [ 14/156] gold=MALIGNANT pred=BENIGN    p_mal=0.144   9.7s | ETA 17 min
INFO   [ 15/156] gold=BENIGN    pred=BENIGN    p_mal=0.019   9.6s | ETA 17 min
INFO   [ 16/156] gold=MALIGNANT pred=BENIGN    p_mal=0.046   8.6s | ETA 17 min
INFO   [ 17/156] gold=BENIGN    pred=BENIGN    p_mal=0.049   9.0s | ETA 17 min
INFO   [ 18/156] gold=BENIGN    pred=BENIGN    p_mal=0.043  10.0s | ETA 18 min
INFO   [ 19/156] gold=BENIGN    pred=BENIGN    p_mal=0.036   8.6s | ETA 18 min
INFO   [ 20/156] gold=BENIGN    pred=BENIGN    p_mal=0.032   9.0s | ETA 18 min
INFO   [ 21/156] gold=MALIGNANT pred=BENIGN    p_mal=0.175  10.3s | ETA 18 min
INFO   [ 22/156] gold=BENIGN    pred=BENIGN    p_mal=0.021   8.9s | ETA 18 min
INFO   [ 23/156] gold=BENIGN    pred=BENIGN    p_mal=0.055   8.9s | ETA 18 min
INFO   [ 24/156] gold=MALIGNANT pred=BENIGN    p_mal=0.014   9.6s | ETA 18 min
INFO   [ 25/156] gold=MALIGNANT pred=BENIGN    p_mal=0.111   8.4s | ETA 18 min
INFO   [ 26/156] gold=BENIGN    pred=BENIGN    p_mal=0.107   8.2s | ETA 17 min
INFO   [ 27/156] gold=MALIGNANT pred=BENIGN    p_mal=0.091   9.6s | ETA 17 min
INFO   [ 28/156] gold=BENIGN    pred=BENIGN    p_mal=0.021   9.4s | ETA 17 min
INFO   [ 29/156] gold=BENIGN    pred=BENIGN    p_mal=0.135   9.0s | ETA 17 min
INFO   [ 30/156] gold=BENIGN    pred=BENIGN    p_mal=0.099  10.1s | ETA 17 min
INFO   [ 31/156] gold=BENIGN    pred=BENIGN    p_mal=0.031   9.6s | ETA 17 min
INFO   [ 32/156] gold=BENIGN    pred=BENIGN    p_mal=0.028   8.8s | ETA 17 min
INFO   [ 33/156] gold=BENIGN    pred=BENIGN    p_mal=0.041   9.1s | ETA 17 min
INFO   [ 34/156] gold=BENIGN    pred=BENIGN    p_mal=0.081  10.0s | ETA 17 min
INFO   [ 35/156] gold=BENIGN    pred=BENIGN    p_mal=0.074   8.9s | ETA 17 min
INFO   [ 36/156] gold=MALIGNANT pred=BENIGN    p_mal=0.025   9.4s | ETA 17 min
INFO   [ 37/156] gold=BENIGN    pred=BENIGN    p_mal=0.014  10.3s | ETA 17 min
INFO   [ 38/156] gold=BENIGN    pred=BENIGN    p_mal=0.025   9.1s | ETA 17 min
INFO   [ 39/156] gold=MALIGNANT pred=BENIGN    p_mal=0.048   9.3s | ETA 17 min
INFO   [ 40/156] gold=BENIGN    pred=BENIGN    p_mal=0.036  10.2s | ETA 17 min
INFO   [ 41/156] gold=MALIGNANT pred=BENIGN    p_mal=0.045   9.0s | ETA 16 min
INFO   [ 42/156] gold=BENIGN    pred=BENIGN    p_mal=0.046   9.2s | ETA 16 min
INFO   [ 43/156] gold=MALIGNANT pred=BENIGN    p_mal=0.025  10.2s | ETA 16 min
