INFO probing 16 findings
INFO probes | test shards=[8, 9] | 22 samples (0 done)
INFO   [  1/ 22] 008  16/16 probes  | ETA 0.14h
INFO   [  2/ 22] 009  16/16 probes  | ETA 0.12h
INFO   [  3/ 22] 022  16/16 probes  | ETA 0.10h
INFO   [  4/ 22] 023  16/16 probes  | ETA 0.10h
INFO   [  5/ 22] 036  16/16 probes  | ETA 0.09h
INFO   [  6/ 22] 037  16/16 probes  | ETA 0.08h
INFO   [  7/ 22] 050  16/16 probes  | ETA 0.08h
INFO   [  8/ 22] 051  16/16 probes  | ETA 0.07h
INFO   [  9/ 22] 064  16/16 probes  | ETA 0.07h
INFO   [ 10/ 22] 065  16/16 probes  | ETA 0.06h
INFO   [ 11/ 22] 078  16/16 probes  | ETA 0.05h
INFO   [ 12/ 22] 079  16/16 probes  | ETA 0.05h
INFO   [ 13/ 22] 092  16/16 probes  | ETA 0.04h
INFO   [ 14/ 22] 093  16/16 probes  | ETA 0.04h
INFO   [ 15/ 22] 106  16/16 probes  | ETA 0.03h
INFO   [ 16/ 22] 107  16/16 probes  | ETA 0.03h
INFO   [ 17/ 22] 120  16/16 probes  | ETA 0.02h
INFO   [ 18/ 22] 121  16/16 probes  | ETA 0.02h
INFO   [ 19/ 22] 134  16/16 probes  | ETA 0.01h
INFO   [ 20/ 22] 135  16/16 probes  | ETA 0.01h
INFO   [ 21/ 22] 148  16/16 probes  | ETA 0.00h
INFO   [ 22/ 22] 149  16/16 probes  | ETA 0.00h
INFO Done in 6.5 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probe_test_8-9.jsonl
INFO probing 16 findings
INFO probes | val shards=[8, 9] | 10 samples (0 done)
INFO   [  1/ 10] 008  16/16 probes  | ETA 0.04h
INFO   [  2/ 10] 009  16/16 probes  | ETA 0.04h
INFO   [  3/ 10] 022  16/16 probes  | ETA 0.03h
INFO   [  4/ 10] 023  16/16 probes  | ETA 0.03h
INFO   [  5/ 10] 036  16/16 probes  | ETA 0.02h
INFO   [  6/ 10] 037  16/16 probes  | ETA 0.02h
INFO   [  7/ 10] 050  16/16 probes  | ETA 0.01h
INFO   [  8/ 10] 051  16/16 probes  | ETA 0.01h
INFO   [  9/ 10] 064  16/16 probes  | ETA 0.00h
INFO   [ 10/ 10] 065  16/16 probes  | ETA 0.00h
INFO Done in 3.0 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probe_val_8-9.jsonl
INFO probing 16 findings
INFO probes | train shards=[8, 9] | 78 samples (0 done)
INFO   [  1/ 78] 008  16/16 probes  | ETA 0.38h
INFO   [  2/ 78] 009  16/16 probes  | ETA 0.37h
INFO   [  3/ 78] 022  16/16 probes  | ETA 0.37h
INFO   [  4/ 78] 023  16/16 probes  | ETA 0.37h
INFO   [  5/ 78] 036  16/16 probes  | ETA 0.36h
INFO   [  6/ 78] 037  16/16 probes  | ETA 0.36h
INFO   [  7/ 78] 050  16/16 probes  | ETA 0.35h
INFO   [  8/ 78] 051  16/16 probes  | ETA 0.35h
INFO   [  9/ 78] 064  16/16 probes  | ETA 0.34h
INFO   [ 10/ 78] 065  16/16 probes  | ETA 0.34h
INFO   [ 11/ 78] 078  16/16 probes  | ETA 0.33h
INFO   [ 12/ 78] 079  16/16 probes  | ETA 0.33h
INFO   [ 13/ 78] 092  16/16 probes  | ETA 0.32h
INFO   [ 14/ 78] 093  16/16 probes  | ETA 0.32h
INFO   [ 15/ 78] 106  16/16 probes  | ETA 0.31h
INFO   [ 16/ 78] 107  16/16 probes  | ETA 0.31h
INFO   [ 17/ 78] 120  16/16 probes  | ETA 0.30h
INFO   [ 18/ 78] 121  16/16 probes  | ETA 0.30h
INFO   [ 19/ 78] 134  16/16 probes  | ETA 0.29h
INFO   [ 20/ 78] 135  16/16 probes  | ETA 0.29h
INFO   [ 21/ 78] 148  16/16 probes  | ETA 0.28h
INFO   [ 22/ 78] 149  16/16 probes  | ETA 0.28h
INFO   [ 23/ 78] 162  16/16 probes  | ETA 0.27h
INFO   [ 24/ 78] 163  16/16 probes  | ETA 0.27h
INFO   [ 25/ 78] 176  16/16 probes  | ETA 0.26h
INFO   [ 26/ 78] 177  16/16 probes  | ETA 0.26h
INFO   [ 27/ 78] 190  16/16 probes  | ETA 0.25h
INFO   [ 28/ 78] 191  16/16 probes  | ETA 0.25h
INFO   [ 29/ 78] 204  16/16 probes  | ETA 0.24h
INFO   [ 30/ 78] 205  16/16 probes  | ETA 0.24h
INFO   [ 31/ 78] 218  16/16 probes  | ETA 0.23h
INFO   [ 32/ 78] 219  16/16 probes  | ETA 0.23h
INFO   [ 33/ 78] 232  16/16 probes  | ETA 0.22h
INFO   [ 34/ 78] 233  16/16 probes  | ETA 0.22h
INFO   [ 35/ 78] 246  16/16 probes  | ETA 0.21h
INFO   [ 36/ 78] 247  16/16 probes  | ETA 0.21h
INFO   [ 37/ 78] 260  16/16 probes  | ETA 0.20h
INFO   [ 38/ 78] 261  16/16 probes  | ETA 0.20h
INFO   [ 39/ 78] 274  16/16 probes  | ETA 0.19h
INFO   [ 40/ 78] 275  16/16 probes  | ETA 0.19h
INFO   [ 41/ 78] 288  16/16 probes  | ETA 0.18h
INFO   [ 42/ 78] 289  16/16 probes  | ETA 0.18h
INFO   [ 43/ 78] 302  16/16 probes  | ETA 0.17h
INFO   [ 44/ 78] 303  16/16 probes  | ETA 0.17h
INFO   [ 45/ 78] 316  16/16 probes  | ETA 0.16h
INFO   [ 46/ 78] 317  16/16 probes  | ETA 0.16h
INFO   [ 47/ 78] 330  16/16 probes  | ETA 0.15h
INFO   [ 48/ 78] 331  16/16 probes  | ETA 0.15h
INFO   [ 49/ 78] 344  16/16 probes  | ETA 0.14h
INFO   [ 50/ 78] 345  16/16 probes  | ETA 0.14h
INFO   [ 51/ 78] 358  16/16 probes  | ETA 0.13h
INFO   [ 52/ 78] 359  16/16 probes  | ETA 0.13h
INFO   [ 53/ 78] 372  16/16 probes  | ETA 0.12h
INFO   [ 54/ 78] 373  16/16 probes  | ETA 0.12h
INFO   [ 55/ 78] 386  16/16 probes  | ETA 0.11h
INFO   [ 56/ 78] 387  16/16 probes  | ETA 0.11h
INFO   [ 57/ 78] 400  16/16 probes  | ETA 0.10h
INFO   [ 58/ 78] 401  16/16 probes  | ETA 0.10h
INFO   [ 59/ 78] 414  16/16 probes  | ETA 0.09h
INFO   [ 60/ 78] 415  16/16 probes  | ETA 0.09h
INFO   [ 61/ 78] 428  16/16 probes  | ETA 0.08h
INFO   [ 62/ 78] 429  16/16 probes  | ETA 0.08h
INFO   [ 63/ 78] 442  16/16 probes  | ETA 0.07h
INFO   [ 64/ 78] 443  16/16 probes  | ETA 0.07h
INFO   [ 65/ 78] 456  16/16 probes  | ETA 0.06h
INFO   [ 66/ 78] 457  16/16 probes  | ETA 0.06h
INFO   [ 67/ 78] 470  16/16 probes  | ETA 0.05h
INFO   [ 68/ 78] 471  16/16 probes  | ETA 0.05h
INFO   [ 69/ 78] 484  16/16 probes  | ETA 0.04h
INFO   [ 70/ 78] 485  16/16 probes  | ETA 0.04h
INFO   [ 71/ 78] 498  16/16 probes  | ETA 0.03h
INFO   [ 72/ 78] 499  16/16 probes  | ETA 0.03h
INFO   [ 73/ 78] 512  16/16 probes  | ETA 0.02h
INFO   [ 74/ 78] 513  16/16 probes  | ETA 0.02h
INFO   [ 75/ 78] 526  16/16 probes  | ETA 0.01h
INFO   [ 76/ 78] 527  16/16 probes  | ETA 0.01h
INFO   [ 77/ 78] 540  16/16 probes  | ETA 0.00h
INFO   [ 78/ 78] 541  16/16 probes  | ETA 0.00h
INFO Done in 23.2 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probe_train_8-9.jsonl
