INFO probing 16 findings
INFO probes | train shards=[6] | 39 samples (7 done)
INFO   [  1/ 39] 104  16/16 probes  | ETA 0.15h
INFO   [  2/ 39] 118  16/16 probes  | ETA 0.15h
INFO   [  3/ 39] 132  16/16 probes  | ETA 0.14h
INFO   [  4/ 39] 146  16/16 probes  | ETA 0.14h
INFO   [  5/ 39] 160  16/16 probes  | ETA 0.13h
INFO   [  6/ 39] 174  16/16 probes  | ETA 0.13h
INFO   [  7/ 39] 188  16/16 probes  | ETA 0.13h
INFO   [  8/ 39] 202  16/16 probes  | ETA 0.12h
INFO   [  9/ 39] 216  16/16 probes  | ETA 0.12h
INFO   [ 10/ 39] 230  16/16 probes  | ETA 0.11h
INFO   [ 11/ 39] 244  16/16 probes  | ETA 0.11h
INFO   [ 12/ 39] 258  16/16 probes  | ETA 0.11h
INFO   [ 13/ 39] 272  16/16 probes  | ETA 0.10h
INFO   [ 14/ 39] 286  16/16 probes  | ETA 0.10h
INFO   [ 15/ 39] 300  16/16 probes  | ETA 0.09h
INFO   [ 16/ 39] 314  16/16 probes  | ETA 0.09h
INFO   [ 17/ 39] 328  16/16 probes  | ETA 0.09h
INFO   [ 18/ 39] 342  16/16 probes  | ETA 0.08h
INFO   [ 19/ 39] 356  16/16 probes  | ETA 0.08h
INFO   [ 20/ 39] 370  16/16 probes  | ETA 0.07h
INFO   [ 21/ 39] 384  16/16 probes  | ETA 0.07h
INFO   [ 22/ 39] 398  16/16 probes  | ETA 0.07h
INFO   [ 23/ 39] 412  16/16 probes  | ETA 0.06h
INFO   [ 24/ 39] 426  16/16 probes  | ETA 0.06h
INFO   [ 25/ 39] 440  16/16 probes  | ETA 0.05h
INFO   [ 26/ 39] 454  16/16 probes  | ETA 0.05h
INFO   [ 27/ 39] 468  16/16 probes  | ETA 0.05h
INFO   [ 28/ 39] 482  16/16 probes  | ETA 0.04h
INFO   [ 29/ 39] 496  16/16 probes  | ETA 0.04h
INFO   [ 30/ 39] 510  16/16 probes  | ETA 0.04h
INFO   [ 31/ 39] 524  16/16 probes  | ETA 0.03h
INFO   [ 32/ 39] 538  16/16 probes  | ETA 0.03h
INFO Done in 7.5 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probeneg_train_6.jsonl
