aligned: train 546  val 78  test 156

=== features=probe-only  anchor=none ===
  arm           K     TEST    bAcc       cv     val
  no-prop       0   0.7909  0.7713   0.8022  0.9023
  signed KG     1   0.7914  0.7738   0.8037  0.9023
  shuffled KG   1   0.7903  0.7801   0.8011  0.8981
  complete      1   0.7945  0.7625   0.8020  0.8939
  identity      1   0.7909  0.7713   0.8022  0.9023
  signed KG     2   0.7671  0.7431   0.7759  0.9031
  shuffled KG   2   0.6581  0.6429   0.7579  0.7636
  complete      2   0.7671  0.7299   0.7861  0.9098
  identity      2   0.7909  0.7713   0.8022  0.9023

=== features=probe-only  anchor=evidence ===
  arm           K     TEST    bAcc       cv     val
  no-prop       0   0.7924  0.7888   0.8030  0.9023
  signed KG     1   0.7909  0.7650   0.8037  0.8964
  shuffled KG   1   0.7905  0.7619   0.8021  0.8931
  complete      1   0.7932  0.7694   0.8025  0.8947
  identity      1   0.7924  0.7888   0.8030  0.9023
  signed KG     2   0.7036  0.6573   0.7868  0.8396
  shuffled KG   2   0.6520  0.6748   0.7445  0.7561
  complete      2   0.7368  0.6949   0.7906  0.8789
  identity      2   0.7924  0.7888   0.8030  0.9023

=== features=probe+debate  anchor=none ===
  arm           K     TEST    bAcc       cv     val
  no-prop       0   0.7749  0.7011   0.7805  0.8396
  signed KG     1   0.7652  0.7011   0.7589  0.8421
  shuffled KG   1   0.7032  0.6247   0.7164  0.7937
  complete      1   0.6890  0.6322   0.7033  0.7769
  identity      1   0.7749  0.7011   0.7805  0.8396
  signed KG     2   0.6067  0.5739   0.7223  0.6500
  shuffled KG   2   0.7613  0.7462   0.7250  0.7652
  complete      2   0.6537  0.5802   0.6560  0.7043
  identity      2   0.7749  0.7011   0.7805  0.8396

=== features=probe+debate  anchor=evidence ===
  arm           K     TEST    bAcc       cv     val
  no-prop       0   0.7751  0.7249   0.7810  0.8404
  signed KG     1   0.6715  0.5915   0.7545  0.7143
  shuffled KG   1   0.7026  0.6303   0.7172  0.7937
  complete      1   0.6888  0.6397   0.7035  0.7761
  identity      1   0.7751  0.7249   0.7810  0.8404
  signed KG     2   0.6061  0.5739   0.7087  0.6500
  shuffled KG   2   0.7615  0.7343   0.7249  0.7652
  complete      2   0.6539  0.5758   0.6550  0.7051
  identity      2   0.7751  0.7249   0.7810  0.8404
