INFO probing 16 findings
INFO probes | test shards=[0, 1] | 24 samples (0 done)
INFO   [  1/ 24] 000  16/16 probes  | ETA 0.05h
INFO   [  2/ 24] 001  16/16 probes  | ETA 0.06h
INFO   [  3/ 24] 014  16/16 probes  | ETA 0.07h
INFO   [  4/ 24] 015  16/16 probes  | ETA 0.07h
INFO   [  5/ 24] 028  16/16 probes  | ETA 0.06h
INFO   [  6/ 24] 029  16/16 probes  | ETA 0.06h
INFO   [  7/ 24] 042  16/16 probes  | ETA 0.06h
INFO   [  8/ 24] 043  16/16 probes  | ETA 0.06h
INFO   [  9/ 24] 056  16/16 probes  | ETA 0.05h
INFO   [ 10/ 24] 057  16/16 probes  | ETA 0.05h
INFO   [ 11/ 24] 070  16/16 probes  | ETA 0.05h
INFO   [ 12/ 24] 071  16/16 probes  | ETA 0.04h
INFO   [ 13/ 24] 084  16/16 probes  | ETA 0.04h
INFO   [ 14/ 24] 085  16/16 probes  | ETA 0.04h
INFO   [ 15/ 24] 098  16/16 probes  | ETA 0.03h
INFO   [ 16/ 24] 099  16/16 probes  | ETA 0.03h
INFO   [ 17/ 24] 112  16/16 probes  | ETA 0.03h
INFO   [ 18/ 24] 113  16/16 probes  | ETA 0.02h
INFO   [ 19/ 24] 126  16/16 probes  | ETA 0.02h
INFO   [ 20/ 24] 127  16/16 probes  | ETA 0.01h
INFO   [ 21/ 24] 140  16/16 probes  | ETA 0.01h
INFO   [ 22/ 24] 141  16/16 probes  | ETA 0.01h
INFO   [ 23/ 24] 154  16/16 probes  | ETA 0.00h
INFO   [ 24/ 24] 155  16/16 probes  | ETA 0.00h
INFO Done in 5.2 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probep3_test_0-1.jsonl
INFO probing 16 findings
INFO probes | val shards=[0, 1] | 12 samples (0 done)
INFO   [  1/ 12] 000  16/16 probes  | ETA 0.04h
INFO   [  2/ 12] 001  16/16 probes  | ETA 0.04h
INFO   [  3/ 12] 014  16/16 probes  | ETA 0.03h
INFO   [  4/ 12] 015  16/16 probes  | ETA 0.03h
INFO   [  5/ 12] 028  16/16 probes  | ETA 0.03h
INFO   [  6/ 12] 029  16/16 probes  | ETA 0.02h
INFO   [  7/ 12] 042  16/16 probes  | ETA 0.02h
INFO   [  8/ 12] 043  16/16 probes  | ETA 0.01h
INFO   [  9/ 12] 056  16/16 probes  | ETA 0.01h
INFO   [ 10/ 12] 057  16/16 probes  | ETA 0.01h
INFO   [ 11/ 12] 070  16/16 probes  | ETA 0.00h
INFO   [ 12/ 12] 071  16/16 probes  | ETA 0.00h
INFO Done in 2.6 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probep3_val_0-1.jsonl
INFO probing 16 findings
INFO probes | train shards=[0, 1] | 78 samples (0 done)
INFO   [  1/ 78] 000  16/16 probes  | ETA 0.28h
INFO   [  2/ 78] 001  16/16 probes  | ETA 0.28h
INFO   [  3/ 78] 014  16/16 probes  | ETA 0.28h
INFO   [  4/ 78] 015  16/16 probes  | ETA 0.27h
INFO   [  5/ 78] 028  16/16 probes  | ETA 0.27h
INFO   [  6/ 78] 029  16/16 probes  | ETA 0.26h
INFO   [  7/ 78] 042  16/16 probes  | ETA 0.26h
INFO   [  8/ 78] 043  16/16 probes  | ETA 0.26h
INFO   [  9/ 78] 056  16/16 probes  | ETA 0.25h
INFO   [ 10/ 78] 057  16/16 probes  | ETA 0.25h
INFO   [ 11/ 78] 070  16/16 probes  | ETA 0.25h
INFO   [ 12/ 78] 071  16/16 probes  | ETA 0.24h
