INFO probing 16 findings
INFO probes | train shards=[7] | 39 samples (29 done)
INFO   [  1/ 39] 413  16/16 probes  | ETA 0.14h
INFO   [  2/ 39] 427  16/16 probes  | ETA 0.14h
INFO   [  3/ 39] 441  16/16 probes  | ETA 0.13h
INFO   [  4/ 39] 455  16/16 probes  | ETA 0.13h
INFO   [  5/ 39] 469  16/16 probes  | ETA 0.12h
INFO   [  6/ 39] 483  16/16 probes  | ETA 0.12h
INFO   [  7/ 39] 497  16/16 probes  | ETA 0.12h
INFO   [  8/ 39] 511  16/16 probes  | ETA 0.11h
INFO   [  9/ 39] 525  16/16 probes  | ETA 0.11h
INFO   [ 10/ 39] 539  16/16 probes  | ETA 0.11h
INFO Done in 2.2 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/15_kggnn/results/probep4_train_7.jsonl
