INFO probing 16 findings
INFO probes | all shards=[10] | 156 samples (0 done)
INFO   [  1/156] 010  16/16 probes  | ETA 0.58h
INFO   [  2/156] 022  16/16 probes  | ETA 0.57h
INFO   [  3/156] 034  16/16 probes  | ETA 0.56h
INFO   [  4/156] 046  16/16 probes  | ETA 0.56h
INFO   [  5/156] 058  16/16 probes  | ETA 0.55h
INFO   [  6/156] 070  16/16 probes  | ETA 0.55h
INFO   [  7/156] 082  16/16 probes  | ETA 0.55h
INFO   [  8/156] 094  16/16 probes  | ETA 0.54h
INFO   [  9/156] 106  16/16 probes  | ETA 0.54h
INFO   [ 10/156] 118  16/16 probes  | ETA 0.54h
INFO   [ 11/156] 130  16/16 probes  | ETA 0.53h
INFO   [ 12/156] 142  16/16 probes  | ETA 0.53h
INFO   [ 13/156] 154  16/16 probes  | ETA 0.52h
INFO   [ 14/156] 166  16/16 probes  | ETA 0.52h
INFO   [ 15/156] 178  16/16 probes  | ETA 0.52h
INFO   [ 16/156] 190  16/16 probes  | ETA 0.51h
INFO   [ 17/156] 202  16/16 probes  | ETA 0.51h
INFO   [ 18/156] 214  16/16 probes  | ETA 0.51h
INFO   [ 19/156] 226  16/16 probes  | ETA 0.50h
INFO   [ 20/156] 238  16/16 probes  | ETA 0.50h
INFO   [ 21/156] 250  16/16 probes  | ETA 0.50h
INFO   [ 22/156] 262  16/16 probes  | ETA 0.49h
INFO   [ 23/156] 274  16/16 probes  | ETA 0.49h
INFO   [ 24/156] 286  16/16 probes  | ETA 0.48h
INFO   [ 25/156] 298  16/16 probes  | ETA 0.48h
INFO   [ 26/156] 310  16/16 probes  | ETA 0.48h
INFO   [ 27/156] 322  16/16 probes  | ETA 0.47h
INFO   [ 28/156] 334  16/16 probes  | ETA 0.47h
INFO   [ 29/156] 346  16/16 probes  | ETA 0.47h
INFO   [ 30/156] 358  16/16 probes  | ETA 0.46h
INFO   [ 31/156] 370  16/16 probes  | ETA 0.46h
INFO   [ 32/156] 382  16/16 probes  | ETA 0.45h
INFO   [ 33/156] 394  16/16 probes  | ETA 0.45h
INFO   [ 34/156] 406  16/16 probes  | ETA 0.45h
INFO   [ 35/156] 418  16/16 probes  | ETA 0.44h
INFO   [ 36/156] 430  16/16 probes  | ETA 0.44h
INFO   [ 37/156] 442  16/16 probes  | ETA 0.44h
INFO   [ 38/156] 454  16/16 probes  | ETA 0.43h
INFO   [ 39/156] 466  16/16 probes  | ETA 0.43h
INFO   [ 40/156] 478  16/16 probes  | ETA 0.43h
INFO   [ 41/156] 490  16/16 probes  | ETA 0.42h
INFO   [ 42/156] 502  16/16 probes  | ETA 0.42h
INFO   [ 43/156] 514  16/16 probes  | ETA 0.41h
INFO   [ 44/156] 526  16/16 probes  | ETA 0.41h
INFO   [ 45/156] 538  16/16 probes  | ETA 0.41h
INFO   [ 46/156] 550  16/16 probes  | ETA 0.40h
INFO   [ 47/156] 562  16/16 probes  | ETA 0.40h
INFO   [ 48/156] 574  16/16 probes  | ETA 0.40h
INFO   [ 49/156] 586  16/16 probes  | ETA 0.39h
INFO   [ 50/156] 598  16/16 probes  | ETA 0.39h
INFO   [ 51/156] 610  16/16 probes  | ETA 0.39h
INFO   [ 52/156] 622  16/16 probes  | ETA 0.38h
INFO   [ 53/156] 634  16/16 probes  | ETA 0.38h
INFO   [ 54/156] 646  16/16 probes  | ETA 0.37h
INFO   [ 55/156] 658  16/16 probes  | ETA 0.37h
INFO   [ 56/156] 670  16/16 probes  | ETA 0.37h
INFO   [ 57/156] 682  16/16 probes  | ETA 0.36h
INFO   [ 58/156] 694  16/16 probes  | ETA 0.36h
INFO   [ 59/156] 706  16/16 probes  | ETA 0.36h
INFO   [ 60/156] 718  16/16 probes  | ETA 0.35h
INFO   [ 61/156] 730  16/16 probes  | ETA 0.35h
INFO   [ 62/156] 742  16/16 probes  | ETA 0.35h
INFO   [ 63/156] 754  16/16 probes  | ETA 0.34h
INFO   [ 64/156] 766  16/16 probes  | ETA 0.34h
INFO   [ 65/156] 778  16/16 probes  | ETA 0.33h
INFO   [ 66/156] 790  16/16 probes  | ETA 0.33h
INFO   [ 67/156] 802  16/16 probes  | ETA 0.33h
INFO   [ 68/156] 814  16/16 probes  | ETA 0.32h
INFO   [ 69/156] 826  16/16 probes  | ETA 0.32h
INFO   [ 70/156] 838  16/16 probes  | ETA 0.32h
INFO   [ 71/156] 850  16/16 probes  | ETA 0.31h
INFO   [ 72/156] 862  16/16 probes  | ETA 0.31h
INFO   [ 73/156] 874  16/16 probes  | ETA 0.30h
INFO   [ 74/156] 886  16/16 probes  | ETA 0.30h
INFO   [ 75/156] 898  16/16 probes  | ETA 0.30h
INFO   [ 76/156] 910  16/16 probes  | ETA 0.29h
INFO   [ 77/156] 922  16/16 probes  | ETA 0.29h
INFO   [ 78/156] 934  16/16 probes  | ETA 0.29h
INFO   [ 79/156] 946  16/16 probes  | ETA 0.28h
INFO   [ 80/156] 958  16/16 probes  | ETA 0.28h
INFO   [ 81/156] 970  16/16 probes  | ETA 0.28h
INFO   [ 82/156] 982  16/16 probes  | ETA 0.27h
INFO   [ 83/156] 994  16/16 probes  | ETA 0.27h
INFO   [ 84/156] 1006  16/16 probes  | ETA 0.26h
INFO   [ 85/156] 1018  16/16 probes  | ETA 0.26h
INFO   [ 86/156] 1030  16/16 probes  | ETA 0.26h
INFO   [ 87/156] 1042  16/16 probes  | ETA 0.25h
INFO   [ 88/156] 1054  16/16 probes  | ETA 0.25h
INFO   [ 89/156] 1066  16/16 probes  | ETA 0.25h
INFO   [ 90/156] 1078  16/16 probes  | ETA 0.24h
INFO   [ 91/156] 1090  16/16 probes  | ETA 0.24h
INFO   [ 92/156] 1102  16/16 probes  | ETA 0.24h
INFO   [ 93/156] 1114  16/16 probes  | ETA 0.23h
INFO   [ 94/156] 1126  16/16 probes  | ETA 0.23h
INFO   [ 95/156] 1138  16/16 probes  | ETA 0.22h
INFO   [ 96/156] 1150  16/16 probes  | ETA 0.22h
INFO   [ 97/156] 1162  16/16 probes  | ETA 0.22h
INFO   [ 98/156] 1174  16/16 probes  | ETA 0.21h
INFO   [ 99/156] 1186  16/16 probes  | ETA 0.21h
INFO   [100/156] 1198  16/16 probes  | ETA 0.21h
INFO   [101/156] 1210  16/16 probes  | ETA 0.20h
INFO   [102/156] 1222  16/16 probes  | ETA 0.20h
INFO   [103/156] 1234  16/16 probes  | ETA 0.19h
INFO   [104/156] 1246  16/16 probes  | ETA 0.19h
INFO   [105/156] 1258  16/16 probes  | ETA 0.19h
INFO   [106/156] 1270  16/16 probes  | ETA 0.18h
INFO   [107/156] 1282  16/16 probes  | ETA 0.18h
INFO   [108/156] 1294  16/16 probes  | ETA 0.18h
INFO   [109/156] 1306  16/16 probes  | ETA 0.17h
INFO   [110/156] 1318  16/16 probes  | ETA 0.17h
INFO   [111/156] 1330  16/16 probes  | ETA 0.17h
INFO   [112/156] 1342  16/16 probes  | ETA 0.16h
INFO   [113/156] 1354  16/16 probes  | ETA 0.16h
INFO   [114/156] 1366  16/16 probes  | ETA 0.15h
INFO   [115/156] 1378  16/16 probes  | ETA 0.15h
INFO   [116/156] 1390  16/16 probes  | ETA 0.15h
INFO   [117/156] 1402  16/16 probes  | ETA 0.14h
INFO   [118/156] 1414  16/16 probes  | ETA 0.14h
INFO   [119/156] 1426  16/16 probes  | ETA 0.14h
INFO   [120/156] 1438  16/16 probes  | ETA 0.13h
INFO   [121/156] 1450  16/16 probes  | ETA 0.13h
INFO   [122/156] 1462  16/16 probes  | ETA 0.12h
INFO   [123/156] 1474  16/16 probes  | ETA 0.12h
INFO   [124/156] 1486  16/16 probes  | ETA 0.12h
INFO   [125/156] 1498  16/16 probes  | ETA 0.11h
