INFO probing 16 findings
INFO probes | brst shards=[0] | 32 samples (0 done)
INFO   [  1/ 32] 000  16/16 probes  | ETA 0.06h
INFO   [  2/ 32] 008  16/16 probes  | ETA 0.06h
INFO   [  3/ 32] 016  16/16 probes  | ETA 0.05h
INFO   [  4/ 32] 024  16/16 probes  | ETA 0.05h
INFO   [  5/ 32] 032  16/16 probes  | ETA 0.05h
INFO   [  6/ 32] 040  16/16 probes  | ETA 0.05h
INFO   [  7/ 32] 048  16/16 probes  | ETA 0.05h
INFO   [  8/ 32] 056  16/16 probes  | ETA 0.04h
INFO   [  9/ 32] 064  16/16 probes  | ETA 0.04h
INFO   [ 10/ 32] 072  16/16 probes  | ETA 0.04h
INFO   [ 11/ 32] 080  16/16 probes  | ETA 0.04h
INFO   [ 12/ 32] 088  16/16 probes  | ETA 0.04h
INFO   [ 13/ 32] 096  16/16 probes  | ETA 0.03h
INFO   [ 14/ 32] 104  16/16 probes  | ETA 0.03h
INFO   [ 15/ 32] 112  16/16 probes  | ETA 0.03h
INFO   [ 16/ 32] 120  16/16 probes  | ETA 0.03h
INFO   [ 17/ 32] 128  16/16 probes  | ETA 0.03h
INFO   [ 18/ 32] 136  16/16 probes  | ETA 0.03h
INFO   [ 19/ 32] 144  16/16 probes  | ETA 0.02h
INFO   [ 20/ 32] 152  16/16 probes  | ETA 0.02h
INFO   [ 21/ 32] 160  16/16 probes  | ETA 0.02h
INFO   [ 22/ 32] 168  16/16 probes  | ETA 0.02h
INFO   [ 23/ 32] 176  16/16 probes  | ETA 0.02h
INFO   [ 24/ 32] 184  16/16 probes  | ETA 0.01h
INFO   [ 25/ 32] 192  16/16 probes  | ETA 0.01h
INFO   [ 26/ 32] 200  16/16 probes  | ETA 0.01h
INFO   [ 27/ 32] 208  16/16 probes  | ETA 0.01h
INFO   [ 28/ 32] 216  16/16 probes  | ETA 0.01h
INFO   [ 29/ 32] 224  16/16 probes  | ETA 0.01h
INFO   [ 30/ 32] 232  16/16 probes  | ETA 0.00h
INFO   [ 31/ 32] 240  16/16 probes  | ETA 0.00h
INFO   [ 32/ 32] 248  16/16 probes  | ETA 0.00h
INFO Done in 3.5 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/16_external/results/brst_p2_brst_0.jsonl
INFO probing 16 findings
INFO probes | brst shards=[0] | 32 samples (0 done)
INFO   [  1/ 32] 000  16/16 probes  | ETA 0.05h
INFO   [  2/ 32] 008  16/16 probes  | ETA 0.05h
INFO   [  3/ 32] 016  16/16 probes  | ETA 0.04h
INFO   [  4/ 32] 024  16/16 probes  | ETA 0.04h
INFO   [  5/ 32] 032  16/16 probes  | ETA 0.04h
INFO   [  6/ 32] 040  16/16 probes  | ETA 0.04h
INFO   [  7/ 32] 048  16/16 probes  | ETA 0.04h
INFO   [  8/ 32] 056  16/16 probes  | ETA 0.04h
INFO   [  9/ 32] 064  16/16 probes  | ETA 0.04h
INFO   [ 10/ 32] 072  16/16 probes  | ETA 0.03h
INFO   [ 11/ 32] 080  16/16 probes  | ETA 0.03h
INFO   [ 12/ 32] 088  16/16 probes  | ETA 0.03h
INFO   [ 13/ 32] 096  16/16 probes  | ETA 0.03h
INFO   [ 14/ 32] 104  16/16 probes  | ETA 0.03h
INFO   [ 15/ 32] 112  16/16 probes  | ETA 0.03h
INFO   [ 16/ 32] 120  16/16 probes  | ETA 0.02h
INFO   [ 17/ 32] 128  16/16 probes  | ETA 0.02h
INFO   [ 18/ 32] 136  16/16 probes  | ETA 0.02h
INFO   [ 19/ 32] 144  16/16 probes  | ETA 0.02h
INFO   [ 20/ 32] 152  16/16 probes  | ETA 0.02h
INFO   [ 21/ 32] 160  16/16 probes  | ETA 0.02h
INFO   [ 22/ 32] 168  16/16 probes  | ETA 0.02h
INFO   [ 23/ 32] 176  16/16 probes  | ETA 0.01h
INFO   [ 24/ 32] 184  16/16 probes  | ETA 0.01h
INFO   [ 25/ 32] 192  16/16 probes  | ETA 0.01h
INFO   [ 26/ 32] 200  16/16 probes  | ETA 0.01h
INFO   [ 27/ 32] 208  16/16 probes  | ETA 0.01h
INFO   [ 28/ 32] 216  16/16 probes  | ETA 0.01h
INFO   [ 29/ 32] 224  16/16 probes  | ETA 0.00h
INFO   [ 30/ 32] 232  16/16 probes  | ETA 0.00h
INFO   [ 31/ 32] 240  16/16 probes  | ETA 0.00h
INFO   [ 32/ 32] 248  16/16 probes  | ETA 0.00h
INFO Done in 3.0 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/16_external/results/brst_p3_brst_0.jsonl
