INFO probing 20 lesions
INFO lesion probes | bus shards=[0] | 209 samples (0 done)
INFO   [  1/209] 0000  20/20  | ETA 0.93h
INFO   [  2/209] 0009  20/20  | ETA 0.92h
INFO   [  3/209] 0018  20/20  | ETA 0.91h
INFO   [  4/209] 0027  20/20  | ETA 0.91h
INFO   [  5/209] 0036  20/20  | ETA 0.90h
INFO   [  6/209] 0045  20/20  | ETA 0.90h
INFO   [  7/209] 0054  20/20  | ETA 0.89h
INFO   [  8/209] 0063  20/20  | ETA 0.89h
INFO   [  9/209] 0072  20/20  | ETA 0.88h
INFO   [ 10/209] 0081  20/20  | ETA 0.88h
INFO   [ 11/209] 0090  20/20  | ETA 0.87h
INFO   [ 12/209] 0099  20/20  | ETA 0.87h
INFO   [ 13/209] 0108  20/20  | ETA 0.87h
INFO   [ 14/209] 0117  20/20  | ETA 0.86h
INFO   [ 15/209] 0126  20/20  | ETA 0.86h
INFO   [ 16/209] 0135  20/20  | ETA 0.85h
INFO   [ 17/209] 0144  20/20  | ETA 0.85h
INFO   [ 18/209] 0153  20/20  | ETA 0.84h
INFO   [ 19/209] 0162  20/20  | ETA 0.84h
INFO   [ 20/209] 0171  20/20  | ETA 0.84h
INFO   [ 21/209] 0180  20/20  | ETA 0.83h
INFO   [ 22/209] 0189  20/20  | ETA 0.83h
INFO   [ 23/209] 0198  20/20  | ETA 0.82h
INFO   [ 24/209] 0207  20/20  | ETA 0.82h
INFO   [ 25/209] 0216  20/20  | ETA 0.81h
INFO   [ 26/209] 0225  20/20  | ETA 0.81h
INFO   [ 27/209] 0234  20/20  | ETA 0.80h
INFO   [ 28/209] 0243  20/20  | ETA 0.80h
INFO   [ 29/209] 0252  20/20  | ETA 0.80h
INFO   [ 30/209] 0261  20/20  | ETA 0.79h
INFO   [ 31/209] 0270  20/20  | ETA 0.79h
INFO   [ 32/209] 0279  20/20  | ETA 0.78h
INFO   [ 33/209] 0288  20/20  | ETA 0.78h
INFO   [ 34/209] 0297  20/20  | ETA 0.77h
INFO   [ 35/209] 0306  20/20  | ETA 0.77h
INFO   [ 36/209] 0315  20/20  | ETA 0.76h
INFO   [ 37/209] 0324  20/20  | ETA 0.76h
INFO   [ 38/209] 0333  20/20  | ETA 0.76h
INFO   [ 39/209] 0342  20/20  | ETA 0.75h
INFO   [ 40/209] 0351  20/20  | ETA 0.75h
INFO   [ 41/209] 0360  20/20  | ETA 0.74h
INFO   [ 42/209] 0369  20/20  | ETA 0.74h
INFO   [ 43/209] 0378  20/20  | ETA 0.73h
INFO   [ 44/209] 0387  20/20  | ETA 0.73h
INFO   [ 45/209] 0396  20/20  | ETA 0.72h
INFO   [ 46/209] 0405  20/20  | ETA 0.72h
INFO   [ 47/209] 0414  20/20  | ETA 0.72h
INFO   [ 48/209] 0423  20/20  | ETA 0.71h
INFO   [ 49/209] 0432  20/20  | ETA 0.71h
INFO   [ 50/209] 0441  20/20  | ETA 0.70h
INFO   [ 51/209] 0450  20/20  | ETA 0.70h
INFO   [ 52/209] 0459  20/20  | ETA 0.69h
INFO   [ 53/209] 0468  20/20  | ETA 0.69h
INFO   [ 54/209] 0477  20/20  | ETA 0.68h
INFO   [ 55/209] 0486  20/20  | ETA 0.68h
INFO   [ 56/209] 0495  20/20  | ETA 0.68h
INFO   [ 57/209] 0504  20/20  | ETA 0.67h
INFO   [ 58/209] 0513  20/20  | ETA 0.67h
INFO   [ 59/209] 0522  20/20  | ETA 0.66h
INFO   [ 60/209] 0531  20/20  | ETA 0.66h
INFO   [ 61/209] 0540  20/20  | ETA 0.65h
INFO   [ 62/209] 0549  20/20  | ETA 0.65h
INFO   [ 63/209] 0558  20/20  | ETA 0.65h
INFO   [ 64/209] 0567  20/20  | ETA 0.64h
INFO   [ 65/209] 0576  20/20  | ETA 0.64h
INFO   [ 66/209] 0585  20/20  | ETA 0.63h
INFO   [ 67/209] 0594  20/20  | ETA 0.63h
INFO   [ 68/209] 0603  20/20  | ETA 0.62h
INFO   [ 69/209] 0612  20/20  | ETA 0.62h
INFO   [ 70/209] 0621  20/20  | ETA 0.61h
INFO   [ 71/209] 0630  20/20  | ETA 0.61h
INFO   [ 72/209] 0639  20/20  | ETA 0.61h
INFO   [ 73/209] 0648  20/20  | ETA 0.60h
INFO   [ 74/209] 0657  20/20  | ETA 0.60h
INFO   [ 75/209] 0666  20/20  | ETA 0.59h
INFO   [ 76/209] 0675  20/20  | ETA 0.59h
INFO   [ 77/209] 0684  20/20  | ETA 0.58h
INFO   [ 78/209] 0693  20/20  | ETA 0.58h
INFO   [ 79/209] 0702  20/20  | ETA 0.57h
INFO   [ 80/209] 0711  20/20  | ETA 0.57h
INFO   [ 81/209] 0720  20/20  | ETA 0.57h
INFO   [ 82/209] 0729  20/20  | ETA 0.56h
INFO   [ 83/209] 0738  20/20  | ETA 0.56h
INFO   [ 84/209] 0747  20/20  | ETA 0.55h
INFO   [ 85/209] 0756  20/20  | ETA 0.55h
INFO   [ 86/209] 0765  20/20  | ETA 0.54h
INFO   [ 87/209] 0774  20/20  | ETA 0.54h
INFO   [ 88/209] 0783  20/20  | ETA 0.53h
INFO   [ 89/209] 0792  20/20  | ETA 0.53h
INFO   [ 90/209] 0801  20/20  | ETA 0.53h
INFO   [ 91/209] 0810  20/20  | ETA 0.52h
INFO   [ 92/209] 0819  20/20  | ETA 0.52h
INFO   [ 93/209] 0828  20/20  | ETA 0.51h
INFO   [ 94/209] 0837  20/20  | ETA 0.51h
INFO   [ 95/209] 0846  20/20  | ETA 0.50h
INFO   [ 96/209] 0855  20/20  | ETA 0.50h
INFO   [ 97/209] 0864  20/20  | ETA 0.49h
INFO   [ 98/209] 0873  20/20  | ETA 0.49h
INFO   [ 99/209] 0882  20/20  | ETA 0.49h
INFO   [100/209] 0891  20/20  | ETA 0.48h
INFO   [101/209] 0900  20/20  | ETA 0.48h
INFO   [102/209] 0909  20/20  | ETA 0.47h
INFO   [103/209] 0918  20/20  | ETA 0.47h
INFO   [104/209] 0927  20/20  | ETA 0.46h
INFO   [105/209] 0936  20/20  | ETA 0.46h
INFO   [106/209] 0945  20/20  | ETA 0.45h
INFO   [107/209] 0954  20/20  | ETA 0.45h
INFO   [108/209] 0963  20/20  | ETA 0.45h
INFO   [109/209] 0972  20/20  | ETA 0.44h
INFO   [110/209] 0981  20/20  | ETA 0.44h
INFO   [111/209] 0990  20/20  | ETA 0.43h
INFO   [112/209] 0999  20/20  | ETA 0.43h
INFO   [113/209] 1008  20/20  | ETA 0.42h
INFO   [114/209] 1017  20/20  | ETA 0.42h
INFO   [115/209] 1026  20/20  | ETA 0.42h
INFO   [116/209] 1035  20/20  | ETA 0.41h
INFO   [117/209] 1044  20/20  | ETA 0.41h
INFO   [118/209] 1053  20/20  | ETA 0.40h
INFO   [119/209] 1062  20/20  | ETA 0.40h
INFO   [120/209] 1071  20/20  | ETA 0.39h
INFO   [121/209] 1080  20/20  | ETA 0.39h
INFO   [122/209] 1089  20/20  | ETA 0.38h
INFO   [123/209] 1098  20/20  | ETA 0.38h
INFO   [124/209] 1107  20/20  | ETA 0.38h
INFO   [125/209] 1116  20/20  | ETA 0.37h
INFO   [126/209] 1125  20/20  | ETA 0.37h
INFO   [127/209] 1134  20/20  | ETA 0.36h
INFO   [128/209] 1143  20/20  | ETA 0.36h
INFO   [129/209] 1152  20/20  | ETA 0.35h
INFO   [130/209] 1161  20/20  | ETA 0.35h
INFO   [131/209] 1170  20/20  | ETA 0.34h
INFO   [132/209] 1179  20/20  | ETA 0.34h
INFO   [133/209] 1188  20/20  | ETA 0.34h
INFO   [134/209] 1197  20/20  | ETA 0.33h
INFO   [135/209] 1206  20/20  | ETA 0.33h
INFO   [136/209] 1215  20/20  | ETA 0.32h
INFO   [137/209] 1224  20/20  | ETA 0.32h
INFO   [138/209] 1233  20/20  | ETA 0.31h
INFO   [139/209] 1242  20/20  | ETA 0.31h
INFO   [140/209] 1251  20/20  | ETA 0.30h
INFO   [141/209] 1260  20/20  | ETA 0.30h
INFO   [142/209] 1269  20/20  | ETA 0.30h
INFO   [143/209] 1278  20/20  | ETA 0.29h
INFO   [144/209] 1287  20/20  | ETA 0.29h
INFO   [145/209] 1296  20/20  | ETA 0.28h
INFO   [146/209] 1305  20/20  | ETA 0.28h
INFO   [147/209] 1314  20/20  | ETA 0.27h
INFO   [148/209] 1323  20/20  | ETA 0.27h
INFO   [149/209] 1332  20/20  | ETA 0.27h
INFO   [150/209] 1341  20/20  | ETA 0.26h
INFO   [151/209] 1350  20/20  | ETA 0.26h
INFO   [152/209] 1359  20/20  | ETA 0.25h
INFO   [153/209] 1368  20/20  | ETA 0.25h
INFO   [154/209] 1377  20/20  | ETA 0.24h
INFO   [155/209] 1386  20/20  | ETA 0.24h
INFO   [156/209] 1395  20/20  | ETA 0.23h
INFO   [157/209] 1404  20/20  | ETA 0.23h
INFO   [158/209] 1413  20/20  | ETA 0.23h
INFO   [159/209] 1422  20/20  | ETA 0.22h
INFO   [160/209] 1431  20/20  | ETA 0.22h
INFO   [161/209] 1440  20/20  | ETA 0.21h
INFO   [162/209] 1449  20/20  | ETA 0.21h
INFO   [163/209] 1458  20/20  | ETA 0.20h
INFO   [164/209] 1467  20/20  | ETA 0.20h
INFO   [165/209] 1476  20/20  | ETA 0.19h
INFO   [166/209] 1485  20/20  | ETA 0.19h
INFO   [167/209] 1494  20/20  | ETA 0.19h
INFO   [168/209] 1503  20/20  | ETA 0.18h
INFO   [169/209] 1512  20/20  | ETA 0.18h
INFO   [170/209] 1521  20/20  | ETA 0.17h
