INFO probing 20 lesions
INFO lesion probes | bus shards=[2] | 209 samples (30 done)
INFO   [  1/209] 0272  20/20  | ETA 0.59h
INFO   [  2/209] 0281  20/20  | ETA 0.58h
INFO   [  3/209] 0290  20/20  | ETA 0.58h
INFO   [  4/209] 0299  20/20  | ETA 0.58h
INFO   [  5/209] 0308  20/20  | ETA 0.58h
INFO   [  6/209] 0317  20/20  | ETA 0.57h
INFO   [  7/209] 0326  20/20  | ETA 0.57h
INFO   [  8/209] 0335  20/20  | ETA 0.57h
INFO   [  9/209] 0344  20/20  | ETA 0.57h
INFO   [ 10/209] 0353  20/20  | ETA 0.56h
INFO   [ 11/209] 0362  20/20  | ETA 0.56h
INFO   [ 12/209] 0371  20/20  | ETA 0.56h
INFO   [ 13/209] 0380  20/20  | ETA 0.55h
INFO   [ 14/209] 0389  20/20  | ETA 0.55h
INFO   [ 15/209] 0398  20/20  | ETA 0.55h
INFO   [ 16/209] 0407  20/20  | ETA 0.55h
INFO   [ 17/209] 0416  20/20  | ETA 0.54h
INFO   [ 18/209] 0425  20/20  | ETA 0.54h
INFO   [ 19/209] 0434  20/20  | ETA 0.54h
INFO   [ 20/209] 0443  20/20  | ETA 0.54h
INFO   [ 21/209] 0452  20/20  | ETA 0.54h
INFO   [ 22/209] 0461  20/20  | ETA 0.53h
INFO   [ 23/209] 0470  20/20  | ETA 0.53h
INFO   [ 24/209] 0479  20/20  | ETA 0.53h
INFO   [ 25/209] 0488  20/20  | ETA 0.52h
INFO   [ 26/209] 0497  20/20  | ETA 0.52h
INFO   [ 27/209] 0506  20/20  | ETA 0.52h
INFO   [ 28/209] 0515  20/20  | ETA 0.52h
INFO   [ 29/209] 0524  20/20  | ETA 0.51h
INFO   [ 30/209] 0533  20/20  | ETA 0.51h
INFO   [ 31/209] 0542  20/20  | ETA 0.51h
INFO   [ 32/209] 0551  20/20  | ETA 0.51h
INFO   [ 33/209] 0560  20/20  | ETA 0.50h
INFO   [ 34/209] 0569  20/20  | ETA 0.50h
INFO   [ 35/209] 0578  20/20  | ETA 0.50h
INFO   [ 36/209] 0587  20/20  | ETA 0.50h
INFO   [ 37/209] 0596  20/20  | ETA 0.49h
INFO   [ 38/209] 0605  20/20  | ETA 0.49h
INFO   [ 39/209] 0614  20/20  | ETA 0.49h
INFO   [ 40/209] 0623  20/20  | ETA 0.48h
INFO   [ 41/209] 0632  20/20  | ETA 0.48h
INFO   [ 42/209] 0641  20/20  | ETA 0.48h
INFO   [ 43/209] 0650  20/20  | ETA 0.48h
INFO   [ 44/209] 0659  20/20  | ETA 0.47h
INFO   [ 45/209] 0668  20/20  | ETA 0.47h
INFO   [ 46/209] 0677  20/20  | ETA 0.47h
INFO   [ 47/209] 0686  20/20  | ETA 0.46h
INFO   [ 48/209] 0695  20/20  | ETA 0.46h
INFO   [ 49/209] 0704  20/20  | ETA 0.46h
INFO   [ 50/209] 0713  20/20  | ETA 0.46h
INFO   [ 51/209] 0722  20/20  | ETA 0.45h
INFO   [ 52/209] 0731  20/20  | ETA 0.45h
INFO   [ 53/209] 0740  20/20  | ETA 0.45h
INFO   [ 54/209] 0749  20/20  | ETA 0.44h
INFO   [ 55/209] 0758  20/20  | ETA 0.44h
INFO   [ 56/209] 0767  20/20  | ETA 0.44h
INFO   [ 57/209] 0776  20/20  | ETA 0.44h
INFO   [ 58/209] 0785  20/20  | ETA 0.43h
INFO   [ 59/209] 0794  20/20  | ETA 0.43h
INFO   [ 60/209] 0803  20/20  | ETA 0.43h
INFO   [ 61/209] 0812  20/20  | ETA 0.43h
INFO   [ 62/209] 0821  20/20  | ETA 0.42h
INFO   [ 63/209] 0830  20/20  | ETA 0.42h
INFO   [ 64/209] 0839  20/20  | ETA 0.42h
INFO   [ 65/209] 0848  20/20  | ETA 0.42h
INFO   [ 66/209] 0857  20/20  | ETA 0.41h
INFO   [ 67/209] 0866  20/20  | ETA 0.41h
INFO   [ 68/209] 0875  20/20  | ETA 0.41h
INFO   [ 69/209] 0884  20/20  | ETA 0.40h
INFO   [ 70/209] 0893  20/20  | ETA 0.40h
INFO   [ 71/209] 0902  20/20  | ETA 0.40h
INFO   [ 72/209] 0911  20/20  | ETA 0.40h
INFO   [ 73/209] 0920  20/20  | ETA 0.39h
INFO   [ 74/209] 0929  20/20  | ETA 0.39h
INFO   [ 75/209] 0938  20/20  | ETA 0.39h
INFO   [ 76/209] 0947  20/20  | ETA 0.38h
INFO   [ 77/209] 0956  20/20  | ETA 0.38h
INFO   [ 78/209] 0965  20/20  | ETA 0.38h
INFO   [ 79/209] 0974  20/20  | ETA 0.38h
INFO   [ 80/209] 0983  20/20  | ETA 0.37h
INFO   [ 81/209] 0992  20/20  | ETA 0.37h
INFO   [ 82/209] 1001  20/20  | ETA 0.37h
INFO   [ 83/209] 1010  20/20  | ETA 0.36h
INFO   [ 84/209] 1019  20/20  | ETA 0.36h
INFO   [ 85/209] 1028  20/20  | ETA 0.36h
INFO   [ 86/209] 1037  20/20  | ETA 0.35h
INFO   [ 87/209] 1046  20/20  | ETA 0.35h
INFO   [ 88/209] 1055  20/20  | ETA 0.35h
INFO   [ 89/209] 1064  20/20  | ETA 0.35h
INFO   [ 90/209] 1073  20/20  | ETA 0.34h
INFO   [ 91/209] 1082  20/20  | ETA 0.34h
INFO   [ 92/209] 1091  20/20  | ETA 0.34h
INFO   [ 93/209] 1100  20/20  | ETA 0.33h
INFO   [ 94/209] 1109  20/20  | ETA 0.33h
INFO   [ 95/209] 1118  20/20  | ETA 0.33h
INFO   [ 96/209] 1127  20/20  | ETA 0.33h
INFO   [ 97/209] 1136  20/20  | ETA 0.32h
INFO   [ 98/209] 1145  20/20  | ETA 0.32h
INFO   [ 99/209] 1154  20/20  | ETA 0.32h
INFO   [100/209] 1163  20/20  | ETA 0.31h
INFO   [101/209] 1172  20/20  | ETA 0.31h
INFO   [102/209] 1181  20/20  | ETA 0.31h
INFO   [103/209] 1190  20/20  | ETA 0.31h
INFO   [104/209] 1199  20/20  | ETA 0.30h
INFO   [105/209] 1208  20/20  | ETA 0.30h
INFO   [106/209] 1217  20/20  | ETA 0.30h
INFO   [107/209] 1226  20/20  | ETA 0.29h
INFO   [108/209] 1235  20/20  | ETA 0.29h
INFO   [109/209] 1244  20/20  | ETA 0.29h
INFO   [110/209] 1253  20/20  | ETA 0.29h
INFO   [111/209] 1262  20/20  | ETA 0.28h
INFO   [112/209] 1271  20/20  | ETA 0.28h
INFO   [113/209] 1280  20/20  | ETA 0.28h
INFO   [114/209] 1289  20/20  | ETA 0.27h
INFO   [115/209] 1298  20/20  | ETA 0.27h
INFO   [116/209] 1307  20/20  | ETA 0.27h
INFO   [117/209] 1316  20/20  | ETA 0.27h
INFO   [118/209] 1325  20/20  | ETA 0.26h
INFO   [119/209] 1334  20/20  | ETA 0.26h
INFO   [120/209] 1343  20/20  | ETA 0.26h
INFO   [121/209] 1352  20/20  | ETA 0.25h
INFO   [122/209] 1361  20/20  | ETA 0.25h
INFO   [123/209] 1370  20/20  | ETA 0.25h
INFO   [124/209] 1379  20/20  | ETA 0.24h
INFO   [125/209] 1388  20/20  | ETA 0.24h
INFO   [126/209] 1397  20/20  | ETA 0.24h
INFO   [127/209] 1406  20/20  | ETA 0.24h
INFO   [128/209] 1415  20/20  | ETA 0.23h
INFO   [129/209] 1424  20/20  | ETA 0.23h
INFO   [130/209] 1433  20/20  | ETA 0.23h
INFO   [131/209] 1442  20/20  | ETA 0.22h
INFO   [132/209] 1451  20/20  | ETA 0.22h
INFO   [133/209] 1460  20/20  | ETA 0.22h
INFO   [134/209] 1469  20/20  | ETA 0.22h
INFO   [135/209] 1478  20/20  | ETA 0.21h
INFO   [136/209] 1487  20/20  | ETA 0.21h
INFO   [137/209] 1496  20/20  | ETA 0.21h
INFO   [138/209] 1505  20/20  | ETA 0.20h
INFO   [139/209] 1514  20/20  | ETA 0.20h
INFO   [140/209] 1523  20/20  | ETA 0.20h
INFO   [141/209] 1532  20/20  | ETA 0.20h
INFO   [142/209] 1541  20/20  | ETA 0.19h
INFO   [143/209] 1550  20/20  | ETA 0.19h
INFO   [144/209] 1559  20/20  | ETA 0.19h
INFO   [145/209] 1568  20/20  | ETA 0.18h
INFO   [146/209] 1577  20/20  | ETA 0.18h
INFO   [147/209] 1586  20/20  | ETA 0.18h
INFO   [148/209] 1595  20/20  | ETA 0.18h
INFO   [149/209] 1604  20/20  | ETA 0.17h
INFO   [150/209] 1613  20/20  | ETA 0.17h
INFO   [151/209] 1622  20/20  | ETA 0.17h
INFO   [152/209] 1631  20/20  | ETA 0.16h
INFO   [153/209] 1640  20/20  | ETA 0.16h
INFO   [154/209] 1649  20/20  | ETA 0.16h
INFO   [155/209] 1658  20/20  | ETA 0.16h
INFO   [156/209] 1667  20/20  | ETA 0.15h
INFO   [157/209] 1676  20/20  | ETA 0.15h
INFO   [158/209] 1685  20/20  | ETA 0.15h
INFO   [159/209] 1694  20/20  | ETA 0.14h
INFO   [160/209] 1703  20/20  | ETA 0.14h
INFO   [161/209] 1712  20/20  | ETA 0.14h
INFO   [162/209] 1721  20/20  | ETA 0.14h
INFO   [163/209] 1730  20/20  | ETA 0.13h
INFO   [164/209] 1739  20/20  | ETA 0.13h
INFO   [165/209] 1748  20/20  | ETA 0.13h
INFO   [166/209] 1757  20/20  | ETA 0.12h
INFO   [167/209] 1766  20/20  | ETA 0.12h
INFO   [168/209] 1775  20/20  | ETA 0.12h
INFO   [169/209] 1784  20/20  | ETA 0.12h
INFO   [170/209] 1793  20/20  | ETA 0.11h
INFO   [171/209] 1802  20/20  | ETA 0.11h
INFO   [172/209] 1811  20/20  | ETA 0.11h
INFO   [173/209] 1820  20/20  | ETA 0.10h
INFO   [174/209] 1829  20/20  | ETA 0.10h
INFO   [175/209] 1838  20/20  | ETA 0.10h
INFO   [176/209] 1847  20/20  | ETA 0.10h
INFO   [177/209] 1856  20/20  | ETA 0.09h
INFO   [178/209] 1865  20/20  | ETA 0.09h
INFO   [179/209] 1874  20/20  | ETA 0.09h
INFO Done in 31.0 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/18_lesion/results/leslbus_bus_2.jsonl
