INFO probing 20 lesions
INFO lesion probes | test shards=[0] | 39 samples (0 done)
INFO   [  1/ 39] 0000  20/20  | ETA 0.08h
INFO   [  2/ 39] 0004  20/20  | ETA 0.08h
INFO   [  3/ 39] 0008  20/20  | ETA 0.08h
INFO   [  4/ 39] 0012  20/20  | ETA 0.08h
INFO   [  5/ 39] 0016  20/20  | ETA 0.07h
INFO   [  6/ 39] 0020  20/20  | ETA 0.07h
INFO   [  7/ 39] 0024  20/20  | ETA 0.07h
INFO   [  8/ 39] 0028  20/20  | ETA 0.07h
INFO   [  9/ 39] 0032  20/20  | ETA 0.06h
INFO   [ 10/ 39] 0036  20/20  | ETA 0.06h
INFO   [ 11/ 39] 0040  20/20  | ETA 0.06h
INFO   [ 12/ 39] 0044  20/20  | ETA 0.06h
INFO   [ 13/ 39] 0048  20/20  | ETA 0.06h
INFO   [ 14/ 39] 0052  20/20  | ETA 0.05h
INFO   [ 15/ 39] 0056  20/20  | ETA 0.05h
INFO   [ 16/ 39] 0060  20/20  | ETA 0.05h
INFO   [ 17/ 39] 0064  20/20  | ETA 0.05h
INFO   [ 18/ 39] 0068  20/20  | ETA 0.05h
INFO   [ 19/ 39] 0072  20/20  | ETA 0.04h
INFO   [ 20/ 39] 0076  20/20  | ETA 0.04h
INFO   [ 21/ 39] 0080  20/20  | ETA 0.04h
INFO   [ 22/ 39] 0084  20/20  | ETA 0.04h
INFO   [ 23/ 39] 0088  20/20  | ETA 0.03h
INFO   [ 24/ 39] 0092  20/20  | ETA 0.03h
INFO   [ 25/ 39] 0096  20/20  | ETA 0.03h
INFO   [ 26/ 39] 0100  20/20  | ETA 0.03h
INFO   [ 27/ 39] 0104  20/20  | ETA 0.03h
INFO   [ 28/ 39] 0108  20/20  | ETA 0.02h
INFO   [ 29/ 39] 0112  20/20  | ETA 0.02h
INFO   [ 30/ 39] 0116  20/20  | ETA 0.02h
INFO   [ 31/ 39] 0120  20/20  | ETA 0.02h
INFO   [ 32/ 39] 0124  20/20  | ETA 0.02h
INFO   [ 33/ 39] 0128  20/20  | ETA 0.01h
INFO   [ 34/ 39] 0132  20/20  | ETA 0.01h
INFO   [ 35/ 39] 0136  20/20  | ETA 0.01h
INFO   [ 36/ 39] 0140  20/20  | ETA 0.01h
INFO   [ 37/ 39] 0144  20/20  | ETA 0.00h
INFO   [ 38/ 39] 0148  20/20  | ETA 0.00h
INFO   [ 39/ 39] 0152  20/20  | ETA 0.00h
INFO Done in 5.1 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/18_lesion/results/lesion_test_0.jsonl
INFO probing 20 lesions
INFO lesion probes | val shards=[0] | 20 samples (0 done)
INFO   [  1/ 20] 0000  20/20  | ETA 0.04h
INFO   [  2/ 20] 0004  20/20  | ETA 0.04h
INFO   [  3/ 20] 0008  20/20  | ETA 0.04h
INFO   [  4/ 20] 0012  20/20  | ETA 0.03h
INFO   [  5/ 20] 0016  20/20  | ETA 0.03h
INFO   [  6/ 20] 0020  20/20  | ETA 0.03h
INFO   [  7/ 20] 0024  20/20  | ETA 0.03h
INFO   [  8/ 20] 0028  20/20  | ETA 0.03h
INFO   [  9/ 20] 0032  20/20  | ETA 0.02h
INFO   [ 10/ 20] 0036  20/20  | ETA 0.02h
INFO   [ 11/ 20] 0040  20/20  | ETA 0.02h
INFO   [ 12/ 20] 0044  20/20  | ETA 0.02h
INFO   [ 13/ 20] 0048  20/20  | ETA 0.02h
INFO   [ 14/ 20] 0052  20/20  | ETA 0.01h
INFO   [ 15/ 20] 0056  20/20  | ETA 0.01h
INFO   [ 16/ 20] 0060  20/20  | ETA 0.01h
