INFO probing 16 findings
INFO probes | brst shards=[5] | 31 samples (0 done)
INFO   [  1/ 31] 005  16/16 probes  | ETA 0.18h
INFO   [  2/ 31] 013  16/16 probes  | ETA 0.15h
INFO   [  3/ 31] 021  16/16 probes  | ETA 0.14h
INFO   [  4/ 31] 029  16/16 probes  | ETA 0.13h
INFO   [  5/ 31] 037  16/16 probes  | ETA 0.13h
INFO   [  6/ 31] 045  16/16 probes  | ETA 0.12h
INFO   [  7/ 31] 053  16/16 probes  | ETA 0.11h
INFO   [  8/ 31] 061  16/16 probes  | ETA 0.11h
INFO   [  9/ 31] 069  16/16 probes  | ETA 0.10h
INFO   [ 10/ 31] 077  16/16 probes  | ETA 0.10h
INFO   [ 11/ 31] 085  16/16 probes  | ETA 0.09h
INFO   [ 12/ 31] 093  16/16 probes  | ETA 0.09h
INFO   [ 13/ 31] 101  16/16 probes  | ETA 0.08h
INFO   [ 14/ 31] 109  16/16 probes  | ETA 0.08h
INFO   [ 15/ 31] 117  16/16 probes  | ETA 0.07h
INFO   [ 16/ 31] 125  16/16 probes  | ETA 0.07h
INFO   [ 17/ 31] 133  16/16 probes  | ETA 0.07h
INFO   [ 18/ 31] 141  16/16 probes  | ETA 0.06h
INFO   [ 19/ 31] 149  16/16 probes  | ETA 0.06h
INFO   [ 20/ 31] 157  16/16 probes  | ETA 0.05h
INFO   [ 21/ 31] 165  16/16 probes  | ETA 0.05h
INFO   [ 22/ 31] 173  16/16 probes  | ETA 0.04h
INFO   [ 23/ 31] 181  16/16 probes  | ETA 0.04h
INFO   [ 24/ 31] 189  16/16 probes  | ETA 0.03h
INFO   [ 25/ 31] 197  16/16 probes  | ETA 0.03h
INFO   [ 26/ 31] 205  16/16 probes  | ETA 0.02h
INFO   [ 27/ 31] 213  16/16 probes  | ETA 0.02h
INFO   [ 28/ 31] 221  16/16 probes  | ETA 0.01h
INFO   [ 29/ 31] 229  16/16 probes  | ETA 0.01h
INFO   [ 30/ 31] 237  16/16 probes  | ETA 0.00h
INFO   [ 31/ 31] 245  16/16 probes  | ETA 0.00h
INFO Done in 8.6 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/pad125_p2_brst_5.jsonl
INFO probing 16 findings
INFO probes | brst shards=[5] | 31 samples (0 done)
INFO   [  1/ 31] 005  16/16 probes  | ETA 0.14h
INFO   [  2/ 31] 013  16/16 probes  | ETA 0.13h
INFO   [  3/ 31] 021  16/16 probes  | ETA 0.13h
INFO   [  4/ 31] 029  16/16 probes  | ETA 0.13h
INFO   [  5/ 31] 037  16/16 probes  | ETA 0.12h
INFO   [  6/ 31] 045  16/16 probes  | ETA 0.12h
INFO   [  7/ 31] 053  16/16 probes  | ETA 0.11h
INFO   [  8/ 31] 061  16/16 probes  | ETA 0.11h
INFO   [  9/ 31] 069  16/16 probes  | ETA 0.10h
INFO   [ 10/ 31] 077  16/16 probes  | ETA 0.10h
INFO   [ 11/ 31] 085  16/16 probes  | ETA 0.09h
INFO   [ 12/ 31] 093  16/16 probes  | ETA 0.09h
INFO   [ 13/ 31] 101  16/16 probes  | ETA 0.08h
INFO   [ 14/ 31] 109  16/16 probes  | ETA 0.08h
INFO   [ 15/ 31] 117  16/16 probes  | ETA 0.07h
INFO   [ 16/ 31] 125  16/16 probes  | ETA 0.07h
INFO   [ 17/ 31] 133  16/16 probes  | ETA 0.07h
INFO   [ 18/ 31] 141  16/16 probes  | ETA 0.06h
INFO   [ 19/ 31] 149  16/16 probes  | ETA 0.06h
INFO   [ 20/ 31] 157  16/16 probes  | ETA 0.05h
INFO   [ 21/ 31] 165  16/16 probes  | ETA 0.05h
INFO   [ 22/ 31] 173  16/16 probes  | ETA 0.04h
INFO   [ 23/ 31] 181  16/16 probes  | ETA 0.04h
INFO   [ 24/ 31] 189  16/16 probes  | ETA 0.03h
INFO   [ 25/ 31] 197  16/16 probes  | ETA 0.03h
INFO   [ 26/ 31] 205  16/16 probes  | ETA 0.02h
INFO   [ 27/ 31] 213  16/16 probes  | ETA 0.02h
INFO   [ 28/ 31] 221  16/16 probes  | ETA 0.01h
INFO   [ 29/ 31] 229  16/16 probes  | ETA 0.01h
INFO   [ 30/ 31] 237  16/16 probes  | ETA 0.00h
INFO   [ 31/ 31] 245  16/16 probes  | ETA 0.00h
INFO Done in 8.7 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/pad125_p3_brst_5.jsonl
