INFO probing 16 findings
INFO probes | brst shards=[5] | 42 samples (0 done)
INFO   [  1/ 42] 005  16/16 probes  | ETA 0.51h
INFO   [  2/ 42] 011  16/16 probes  | ETA 0.34h
INFO   [  3/ 42] 017  16/16 probes  | ETA 0.29h
INFO   [  4/ 42] 023  16/16 probes  | ETA 0.26h
INFO   [  5/ 42] 029  16/16 probes  | ETA 0.24h
INFO   [  6/ 42] 035  16/16 probes  | ETA 0.22h
INFO   [  7/ 42] 041  16/16 probes  | ETA 0.21h
INFO   [  8/ 42] 047  16/16 probes  | ETA 0.20h
INFO   [  9/ 42] 053  16/16 probes  | ETA 0.19h
INFO   [ 10/ 42] 059  16/16 probes  | ETA 0.18h
INFO   [ 11/ 42] 065  16/16 probes  | ETA 0.17h
INFO   [ 12/ 42] 071  16/16 probes  | ETA 0.17h
INFO   [ 13/ 42] 077  16/16 probes  | ETA 0.16h
INFO   [ 14/ 42] 083  16/16 probes  | ETA 0.15h
INFO   [ 15/ 42] 089  16/16 probes  | ETA 0.15h
INFO   [ 16/ 42] 095  16/16 probes  | ETA 0.14h
INFO   [ 17/ 42] 101  16/16 probes  | ETA 0.13h
INFO   [ 18/ 42] 107  16/16 probes  | ETA 0.13h
INFO   [ 19/ 42] 113  16/16 probes  | ETA 0.12h
INFO   [ 20/ 42] 119  16/16 probes  | ETA 0.12h
INFO   [ 21/ 42] 125  16/16 probes  | ETA 0.11h
INFO   [ 22/ 42] 131  16/16 probes  | ETA 0.10h
INFO   [ 23/ 42] 137  16/16 probes  | ETA 0.10h
INFO   [ 24/ 42] 143  16/16 probes  | ETA 0.09h
INFO   [ 25/ 42] 149  16/16 probes  | ETA 0.09h
INFO   [ 26/ 42] 155  16/16 probes  | ETA 0.08h
INFO   [ 27/ 42] 161  16/16 probes  | ETA 0.08h
INFO   [ 28/ 42] 167  16/16 probes  | ETA 0.07h
INFO   [ 29/ 42] 173  16/16 probes  | ETA 0.07h
INFO   [ 30/ 42] 179  16/16 probes  | ETA 0.06h
INFO   [ 31/ 42] 185  16/16 probes  | ETA 0.06h
INFO   [ 32/ 42] 191  16/16 probes  | ETA 0.05h
INFO   [ 33/ 42] 197  16/16 probes  | ETA 0.05h
INFO   [ 34/ 42] 203  16/16 probes  | ETA 0.04h
INFO   [ 35/ 42] 209  16/16 probes  | ETA 0.04h
INFO   [ 36/ 42] 215  16/16 probes  | ETA 0.03h
INFO   [ 37/ 42] 221  16/16 probes  | ETA 0.03h
INFO   [ 38/ 42] 227  16/16 probes  | ETA 0.02h
INFO   [ 39/ 42] 233  16/16 probes  | ETA 0.02h
INFO   [ 40/ 42] 239  16/16 probes  | ETA 0.01h
INFO   [ 41/ 42] 245  16/16 probes  | ETA 0.01h
INFO   [ 42/ 42] 251  16/16 probes  | ETA 0.00h
INFO Done in 12.9 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/maskdim_p2_brst_5.jsonl
INFO probing 16 findings
INFO probes | brst shards=[5] | 42 samples (0 done)
INFO   [  1/ 42] 005  16/16 probes  | ETA 0.11h
INFO   [  2/ 42] 011  16/16 probes  | ETA 0.11h
INFO   [  3/ 42] 017  16/16 probes  | ETA 0.11h
INFO   [  4/ 42] 023  16/16 probes  | ETA 0.11h
INFO   [  5/ 42] 029  16/16 probes  | ETA 0.11h
INFO   [  6/ 42] 035  16/16 probes  | ETA 0.11h
INFO   [  7/ 42] 041  16/16 probes  | ETA 0.10h
INFO   [  8/ 42] 047  16/16 probes  | ETA 0.11h
INFO   [  9/ 42] 053  16/16 probes  | ETA 0.10h
INFO   [ 10/ 42] 059  16/16 probes  | ETA 0.10h
INFO   [ 11/ 42] 065  16/16 probes  | ETA 0.10h
INFO   [ 12/ 42] 071  16/16 probes  | ETA 0.09h
INFO   [ 13/ 42] 077  16/16 probes  | ETA 0.09h
INFO   [ 14/ 42] 083  16/16 probes  | ETA 0.08h
INFO   [ 15/ 42] 089  16/16 probes  | ETA 0.08h
INFO   [ 16/ 42] 095  16/16 probes  | ETA 0.08h
INFO   [ 17/ 42] 101  16/16 probes  | ETA 0.07h
INFO   [ 18/ 42] 107  16/16 probes  | ETA 0.07h
INFO   [ 19/ 42] 113  16/16 probes  | ETA 0.07h
INFO   [ 20/ 42] 119  16/16 probes  | ETA 0.06h
INFO   [ 21/ 42] 125  16/16 probes  | ETA 0.06h
INFO   [ 22/ 42] 131  16/16 probes  | ETA 0.06h
INFO   [ 23/ 42] 137  16/16 probes  | ETA 0.05h
INFO   [ 24/ 42] 143  16/16 probes  | ETA 0.05h
INFO   [ 25/ 42] 149  16/16 probes  | ETA 0.05h
INFO   [ 26/ 42] 155  16/16 probes  | ETA 0.05h
INFO   [ 27/ 42] 161  16/16 probes  | ETA 0.04h
INFO   [ 28/ 42] 167  16/16 probes  | ETA 0.04h
INFO   [ 29/ 42] 173  16/16 probes  | ETA 0.04h
INFO   [ 30/ 42] 179  16/16 probes  | ETA 0.03h
INFO   [ 31/ 42] 185  16/16 probes  | ETA 0.03h
INFO   [ 32/ 42] 191  16/16 probes  | ETA 0.03h
INFO   [ 33/ 42] 197  16/16 probes  | ETA 0.03h
INFO   [ 34/ 42] 203  16/16 probes  | ETA 0.02h
INFO   [ 35/ 42] 209  16/16 probes  | ETA 0.02h
INFO   [ 36/ 42] 215  16/16 probes  | ETA 0.02h
INFO   [ 37/ 42] 221  16/16 probes  | ETA 0.01h
INFO   [ 38/ 42] 227  16/16 probes  | ETA 0.01h
INFO   [ 39/ 42] 233  16/16 probes  | ETA 0.01h
INFO   [ 40/ 42] 239  16/16 probes  | ETA 0.01h
INFO   [ 41/ 42] 245  16/16 probes  | ETA 0.00h
INFO   [ 42/ 42] 251  16/16 probes  | ETA 0.00h
INFO Done in 7.0 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/maskdim_p3_brst_5.jsonl
