INFO probing 16 findings
INFO probes | brst shards=[4] | 42 samples (0 done)
INFO   [  1/ 42] 004  16/16 probes  | ETA 1.96h
INFO   [  2/ 42] 010  16/16 probes  | ETA 1.89h
INFO   [  3/ 42] 016  16/16 probes  | ETA 1.84h
INFO   [  4/ 42] 022  16/16 probes  | ETA 1.79h
INFO   [  5/ 42] 028  16/16 probes  | ETA 1.74h
INFO   [  6/ 42] 034  16/16 probes  | ETA 1.70h
INFO   [  7/ 42] 040  16/16 probes  | ETA 1.65h
INFO   [  8/ 42] 046  16/16 probes  | ETA 1.60h
INFO   [  9/ 42] 052  16/16 probes  | ETA 1.55h
INFO   [ 10/ 42] 058  16/16 probes  | ETA 1.51h
INFO   [ 11/ 42] 064  16/16 probes  | ETA 1.46h
INFO   [ 12/ 42] 070  16/16 probes  | ETA 1.41h
INFO   [ 13/ 42] 076  16/16 probes  | ETA 1.36h
INFO   [ 14/ 42] 082  16/16 probes  | ETA 1.32h
INFO   [ 15/ 42] 088  16/16 probes  | ETA 1.27h
INFO   [ 16/ 42] 094  16/16 probes  | ETA 1.22h
INFO   [ 17/ 42] 100  16/16 probes  | ETA 1.17h
INFO probing 16 findings
INFO probes | brst shards=[4] | 42 samples (17 done)
INFO   [  1/ 42] 106  16/16 probes  | ETA 0.21h
INFO   [  2/ 42] 112  16/16 probes  | ETA 0.20h
INFO   [  3/ 42] 118  16/16 probes  | ETA 0.19h
INFO   [  4/ 42] 124  16/16 probes  | ETA 0.19h
INFO   [  5/ 42] 130  16/16 probes  | ETA 0.18h
INFO   [  6/ 42] 136  16/16 probes  | ETA 0.18h
INFO   [  7/ 42] 142  16/16 probes  | ETA 0.17h
INFO   [  8/ 42] 148  16/16 probes  | ETA 0.17h
INFO   [  9/ 42] 154  16/16 probes  | ETA 0.16h
INFO   [ 10/ 42] 160  16/16 probes  | ETA 0.16h
INFO   [ 11/ 42] 166  16/16 probes  | ETA 0.15h
INFO   [ 12/ 42] 172  16/16 probes  | ETA 0.15h
INFO   [ 13/ 42] 178  16/16 probes  | ETA 0.14h
INFO   [ 14/ 42] 184  16/16 probes  | ETA 0.14h
INFO   [ 15/ 42] 190  16/16 probes  | ETA 0.13h
INFO   [ 16/ 42] 196  16/16 probes  | ETA 0.13h
INFO   [ 17/ 42] 202  16/16 probes  | ETA 0.12h
INFO   [ 18/ 42] 208  16/16 probes  | ETA 0.12h
INFO   [ 19/ 42] 214  16/16 probes  | ETA 0.11h
INFO   [ 20/ 42] 220  16/16 probes  | ETA 0.11h
INFO   [ 21/ 42] 226  16/16 probes  | ETA 0.10h
INFO   [ 22/ 42] 232  16/16 probes  | ETA 0.10h
INFO   [ 23/ 42] 238  16/16 probes  | ETA 0.09h
INFO   [ 24/ 42] 244  16/16 probes  | ETA 0.09h
INFO   [ 25/ 42] 250  16/16 probes  | ETA 0.08h
INFO Done in 7.4 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/maskring_p2_brst_4.jsonl
INFO probing 16 findings
INFO probes | brst shards=[4] | 42 samples (0 done)
INFO   [  1/ 42] 004  16/16 probes  | ETA 0.20h
INFO   [  2/ 42] 010  16/16 probes  | ETA 0.19h
INFO   [  3/ 42] 016  16/16 probes  | ETA 0.19h
INFO   [  4/ 42] 022  16/16 probes  | ETA 0.18h
INFO   [  5/ 42] 028  16/16 probes  | ETA 0.18h
INFO   [  6/ 42] 034  16/16 probes  | ETA 0.17h
INFO   [  7/ 42] 040  16/16 probes  | ETA 0.17h
INFO   [  8/ 42] 046  16/16 probes  | ETA 0.16h
INFO   [  9/ 42] 052  16/16 probes  | ETA 0.16h
INFO   [ 10/ 42] 058  16/16 probes  | ETA 0.15h
INFO   [ 11/ 42] 064  16/16 probes  | ETA 0.15h
INFO   [ 12/ 42] 070  16/16 probes  | ETA 0.14h
INFO   [ 13/ 42] 076  16/16 probes  | ETA 0.14h
INFO   [ 14/ 42] 082  16/16 probes  | ETA 0.13h
INFO   [ 15/ 42] 088  16/16 probes  | ETA 0.13h
INFO   [ 16/ 42] 094  16/16 probes  | ETA 0.12h
INFO   [ 17/ 42] 100  16/16 probes  | ETA 0.12h
INFO   [ 18/ 42] 106  16/16 probes  | ETA 0.11h
INFO   [ 19/ 42] 112  16/16 probes  | ETA 0.11h
INFO   [ 20/ 42] 118  16/16 probes  | ETA 0.10h
INFO   [ 21/ 42] 124  16/16 probes  | ETA 0.09h
INFO   [ 22/ 42] 130  16/16 probes  | ETA 0.09h
INFO   [ 23/ 42] 136  16/16 probes  | ETA 0.08h
INFO   [ 24/ 42] 142  16/16 probes  | ETA 0.08h
INFO   [ 25/ 42] 148  16/16 probes  | ETA 0.07h
INFO   [ 26/ 42] 154  16/16 probes  | ETA 0.07h
INFO   [ 27/ 42] 160  16/16 probes  | ETA 0.06h
INFO   [ 28/ 42] 166  16/16 probes  | ETA 0.06h
INFO   [ 29/ 42] 172  16/16 probes  | ETA 0.05h
INFO   [ 30/ 42] 178  16/16 probes  | ETA 0.05h
INFO   [ 31/ 42] 184  16/16 probes  | ETA 0.04h
INFO   [ 32/ 42] 190  16/16 probes  | ETA 0.04h
INFO   [ 33/ 42] 196  16/16 probes  | ETA 0.03h
INFO   [ 34/ 42] 202  16/16 probes  | ETA 0.03h
INFO   [ 35/ 42] 208  16/16 probes  | ETA 0.03h
INFO   [ 36/ 42] 214  16/16 probes  | ETA 0.02h
INFO   [ 37/ 42] 220  16/16 probes  | ETA 0.02h
INFO   [ 38/ 42] 226  16/16 probes  | ETA 0.01h
INFO   [ 39/ 42] 232  16/16 probes  | ETA 0.01h
INFO   [ 40/ 42] 238  16/16 probes  | ETA 0.01h
INFO   [ 41/ 42] 244  16/16 probes  | ETA 0.00h
INFO   [ 42/ 42] 250  16/16 probes  | ETA 0.00h
INFO Done in 9.2 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/20_perception/results/maskring_p3_brst_4.jsonl
