INFO probing 16 findings
INFO probes | all shards=[1] | 79 samples (0 done)
INFO   [  1/ 79] 001  16/16 probes  | ETA 0.30h
INFO   [  2/ 79] 025  16/16 probes  | ETA 0.24h
INFO   [  3/ 79] 049  16/16 probes  | ETA 0.22h
INFO   [  4/ 79] 073  16/16 probes  | ETA 0.21h
INFO   [  5/ 79] 097  16/16 probes  | ETA 0.20h
INFO   [  6/ 79] 121  16/16 probes  | ETA 0.19h
INFO   [  7/ 79] 145  16/16 probes  | ETA 0.19h
INFO   [  8/ 79] 169  16/16 probes  | ETA 0.18h
INFO   [  9/ 79] 193  16/16 probes  | ETA 0.18h
INFO   [ 10/ 79] 217  16/16 probes  | ETA 0.17h
INFO   [ 11/ 79] 241  16/16 probes  | ETA 0.17h
INFO   [ 12/ 79] 265  16/16 probes  | ETA 0.17h
INFO   [ 13/ 79] 289  16/16 probes  | ETA 0.16h
INFO   [ 14/ 79] 313  16/16 probes  | ETA 0.16h
INFO   [ 15/ 79] 337  16/16 probes  | ETA 0.16h
INFO   [ 16/ 79] 361  16/16 probes  | ETA 0.16h
INFO   [ 17/ 79] 385  16/16 probes  | ETA 0.15h
INFO   [ 18/ 79] 409  16/16 probes  | ETA 0.15h
INFO   [ 19/ 79] 433  16/16 probes  | ETA 0.15h
INFO   [ 20/ 79] 457  16/16 probes  | ETA 0.14h
INFO   [ 21/ 79] 481  16/16 probes  | ETA 0.14h
INFO   [ 22/ 79] 505  16/16 probes  | ETA 0.14h
INFO   [ 23/ 79] 529  16/16 probes  | ETA 0.14h
INFO   [ 24/ 79] 553  16/16 probes  | ETA 0.13h
INFO   [ 25/ 79] 577  16/16 probes  | ETA 0.13h
INFO   [ 26/ 79] 601  16/16 probes  | ETA 0.13h
INFO   [ 27/ 79] 625  16/16 probes  | ETA 0.13h
INFO   [ 28/ 79] 649  16/16 probes  | ETA 0.12h
INFO   [ 29/ 79] 673  16/16 probes  | ETA 0.12h
INFO   [ 30/ 79] 697  16/16 probes  | ETA 0.12h
INFO   [ 31/ 79] 721  16/16 probes  | ETA 0.12h
INFO   [ 32/ 79] 745  16/16 probes  | ETA 0.11h
INFO   [ 33/ 79] 769  16/16 probes  | ETA 0.11h
INFO   [ 34/ 79] 793  16/16 probes  | ETA 0.11h
INFO   [ 35/ 79] 817  16/16 probes  | ETA 0.11h
INFO   [ 36/ 79] 841  16/16 probes  | ETA 0.10h
INFO   [ 37/ 79] 865  16/16 probes  | ETA 0.10h
INFO   [ 38/ 79] 889  16/16 probes  | ETA 0.10h
INFO   [ 39/ 79] 913  16/16 probes  | ETA 0.10h
INFO   [ 40/ 79] 937  16/16 probes  | ETA 0.09h
INFO   [ 41/ 79] 961  16/16 probes  | ETA 0.09h
INFO   [ 42/ 79] 985  16/16 probes  | ETA 0.09h
INFO   [ 43/ 79] 1009  16/16 probes  | ETA 0.09h
INFO   [ 44/ 79] 1033  16/16 probes  | ETA 0.08h
INFO   [ 45/ 79] 1057  16/16 probes  | ETA 0.08h
INFO   [ 46/ 79] 1081  16/16 probes  | ETA 0.08h
INFO   [ 47/ 79] 1105  16/16 probes  | ETA 0.08h
INFO   [ 48/ 79] 1129  16/16 probes  | ETA 0.08h
INFO   [ 49/ 79] 1153  16/16 probes  | ETA 0.07h
INFO   [ 50/ 79] 1177  16/16 probes  | ETA 0.07h
INFO   [ 51/ 79] 1201  16/16 probes  | ETA 0.07h
INFO   [ 52/ 79] 1225  16/16 probes  | ETA 0.07h
INFO   [ 53/ 79] 1249  16/16 probes  | ETA 0.06h
INFO   [ 54/ 79] 1273  16/16 probes  | ETA 0.06h
INFO   [ 55/ 79] 1297  16/16 probes  | ETA 0.06h
INFO   [ 56/ 79] 1321  16/16 probes  | ETA 0.06h
INFO   [ 57/ 79] 1345  16/16 probes  | ETA 0.05h
INFO   [ 58/ 79] 1369  16/16 probes  | ETA 0.05h
INFO   [ 59/ 79] 1393  16/16 probes  | ETA 0.05h
INFO   [ 60/ 79] 1417  16/16 probes  | ETA 0.05h
INFO   [ 61/ 79] 1441  16/16 probes  | ETA 0.04h
INFO   [ 62/ 79] 1465  16/16 probes  | ETA 0.04h
INFO   [ 63/ 79] 1489  16/16 probes  | ETA 0.04h
INFO   [ 64/ 79] 1513  16/16 probes  | ETA 0.04h
INFO   [ 65/ 79] 1537  16/16 probes  | ETA 0.03h
INFO   [ 66/ 79] 1561  16/16 probes  | ETA 0.03h
INFO   [ 67/ 79] 1585  16/16 probes  | ETA 0.03h
INFO   [ 68/ 79] 1609  16/16 probes  | ETA 0.03h
INFO   [ 69/ 79] 1633  16/16 probes  | ETA 0.03h
INFO   [ 70/ 79] 1657  16/16 probes  | ETA 0.02h
INFO   [ 71/ 79] 1681  16/16 probes  | ETA 0.02h
INFO   [ 72/ 79] 1705  16/16 probes  | ETA 0.02h
INFO   [ 73/ 79] 1729  16/16 probes  | ETA 0.02h
INFO   [ 74/ 79] 1753  16/16 probes  | ETA 0.01h
INFO   [ 75/ 79] 1777  16/16 probes  | ETA 0.01h
INFO   [ 76/ 79] 1801  16/16 probes  | ETA 0.01h
INFO   [ 77/ 79] 1825  16/16 probes  | ETA 0.01h
INFO   [ 78/ 79] 1849  16/16 probes  | ETA 0.00h
INFO   [ 79/ 79] 1873  16/16 probes  | ETA 0.00h
INFO Done in 12.8 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/23_masktest/results/bbase_p3_all_1.jsonl
