INFO probing 16 findings
INFO probes | all shards=[15] | 78 samples (0 done)
INFO   [  1/ 78] 015  16/16 probes  | ETA 0.20h
INFO   [  2/ 78] 039  16/16 probes  | ETA 0.19h
INFO   [  3/ 78] 063  16/16 probes  | ETA 0.19h
INFO   [  4/ 78] 087  16/16 probes  | ETA 0.19h
INFO   [  5/ 78] 111  16/16 probes  | ETA 0.18h
INFO   [  6/ 78] 135  16/16 probes  | ETA 0.18h
INFO   [  7/ 78] 159  16/16 probes  | ETA 0.18h
INFO   [  8/ 78] 183  16/16 probes  | ETA 0.18h
INFO   [  9/ 78] 207  16/16 probes  | ETA 0.17h
INFO   [ 10/ 78] 231  16/16 probes  | ETA 0.17h
INFO   [ 11/ 78] 255  16/16 probes  | ETA 0.17h
INFO   [ 12/ 78] 279  16/16 probes  | ETA 0.17h
INFO   [ 13/ 78] 303  16/16 probes  | ETA 0.16h
INFO   [ 14/ 78] 327  16/16 probes  | ETA 0.16h
INFO   [ 15/ 78] 351  16/16 probes  | ETA 0.16h
INFO   [ 16/ 78] 375  16/16 probes  | ETA 0.16h
INFO   [ 17/ 78] 399  16/16 probes  | ETA 0.15h
INFO   [ 18/ 78] 423  16/16 probes  | ETA 0.15h
INFO   [ 19/ 78] 447  16/16 probes  | ETA 0.15h
INFO   [ 20/ 78] 471  16/16 probes  | ETA 0.15h
INFO   [ 21/ 78] 495  16/16 probes  | ETA 0.14h
INFO   [ 22/ 78] 519  16/16 probes  | ETA 0.14h
INFO   [ 23/ 78] 543  16/16 probes  | ETA 0.14h
INFO   [ 24/ 78] 567  16/16 probes  | ETA 0.14h
INFO   [ 25/ 78] 591  16/16 probes  | ETA 0.13h
INFO   [ 26/ 78] 615  16/16 probes  | ETA 0.13h
INFO   [ 27/ 78] 639  16/16 probes  | ETA 0.13h
INFO   [ 28/ 78] 663  16/16 probes  | ETA 0.13h
INFO   [ 29/ 78] 687  16/16 probes  | ETA 0.12h
INFO   [ 30/ 78] 711  16/16 probes  | ETA 0.12h
INFO   [ 31/ 78] 735  16/16 probes  | ETA 0.12h
INFO   [ 32/ 78] 759  16/16 probes  | ETA 0.12h
INFO   [ 33/ 78] 783  16/16 probes  | ETA 0.11h
INFO   [ 34/ 78] 807  16/16 probes  | ETA 0.11h
INFO   [ 35/ 78] 831  16/16 probes  | ETA 0.11h
INFO   [ 36/ 78] 855  16/16 probes  | ETA 0.11h
INFO   [ 37/ 78] 879  16/16 probes  | ETA 0.10h
INFO   [ 38/ 78] 903  16/16 probes  | ETA 0.10h
INFO   [ 39/ 78] 927  16/16 probes  | ETA 0.10h
INFO   [ 40/ 78] 951  16/16 probes  | ETA 0.10h
INFO   [ 41/ 78] 975  16/16 probes  | ETA 0.09h
INFO   [ 42/ 78] 999  16/16 probes  | ETA 0.09h
INFO   [ 43/ 78] 1023  16/16 probes  | ETA 0.09h
INFO   [ 44/ 78] 1047  16/16 probes  | ETA 0.09h
INFO   [ 45/ 78] 1071  16/16 probes  | ETA 0.08h
INFO   [ 46/ 78] 1095  16/16 probes  | ETA 0.08h
INFO   [ 47/ 78] 1119  16/16 probes  | ETA 0.08h
INFO   [ 48/ 78] 1143  16/16 probes  | ETA 0.08h
INFO   [ 49/ 78] 1167  16/16 probes  | ETA 0.07h
INFO   [ 50/ 78] 1191  16/16 probes  | ETA 0.07h
INFO   [ 51/ 78] 1215  16/16 probes  | ETA 0.07h
INFO   [ 52/ 78] 1239  16/16 probes  | ETA 0.07h
INFO   [ 53/ 78] 1263  16/16 probes  | ETA 0.06h
INFO   [ 54/ 78] 1287  16/16 probes  | ETA 0.06h
INFO   [ 55/ 78] 1311  16/16 probes  | ETA 0.06h
INFO   [ 56/ 78] 1335  16/16 probes  | ETA 0.06h
INFO   [ 57/ 78] 1359  16/16 probes  | ETA 0.05h
INFO   [ 58/ 78] 1383  16/16 probes  | ETA 0.05h
INFO   [ 59/ 78] 1407  16/16 probes  | ETA 0.05h
INFO   [ 60/ 78] 1431  16/16 probes  | ETA 0.05h
INFO   [ 61/ 78] 1455  16/16 probes  | ETA 0.04h
INFO   [ 62/ 78] 1479  16/16 probes  | ETA 0.04h
INFO   [ 63/ 78] 1503  16/16 probes  | ETA 0.04h
INFO   [ 64/ 78] 1527  16/16 probes  | ETA 0.04h
INFO   [ 65/ 78] 1551  16/16 probes  | ETA 0.03h
INFO   [ 66/ 78] 1575  16/16 probes  | ETA 0.03h
INFO   [ 67/ 78] 1599  16/16 probes  | ETA 0.03h
INFO   [ 68/ 78] 1623  16/16 probes  | ETA 0.02h
INFO   [ 69/ 78] 1647  16/16 probes  | ETA 0.02h
INFO   [ 70/ 78] 1671  16/16 probes  | ETA 0.02h
INFO   [ 71/ 78] 1695  16/16 probes  | ETA 0.02h
INFO   [ 72/ 78] 1719  16/16 probes  | ETA 0.01h
INFO   [ 73/ 78] 1743  16/16 probes  | ETA 0.01h
INFO   [ 74/ 78] 1767  16/16 probes  | ETA 0.01h
INFO   [ 75/ 78] 1791  16/16 probes  | ETA 0.01h
INFO   [ 76/ 78] 1815  16/16 probes  | ETA 0.00h
INFO   [ 77/ 78] 1839  16/16 probes  | ETA 0.00h
INFO   [ 78/ 78] 1863  16/16 probes  | ETA 0.00h
INFO Done in 11.7 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/23_masktest/results/bdim_p3_all_15.jsonl
