INFO probing 16 findings
INFO probes | all shards=[0] | 79 samples (0 done)
INFO   [  1/ 79] 000  16/16 probes  | ETA 0.31h
INFO   [  2/ 79] 024  16/16 probes  | ETA 0.30h
INFO   [  3/ 79] 048  16/16 probes  | ETA 0.29h
INFO   [  4/ 79] 072  16/16 probes  | ETA 0.29h
INFO   [  5/ 79] 096  16/16 probes  | ETA 0.29h
INFO   [  6/ 79] 120  16/16 probes  | ETA 0.28h
INFO   [  7/ 79] 144  16/16 probes  | ETA 0.28h
INFO   [  8/ 79] 168  16/16 probes  | ETA 0.27h
INFO   [  9/ 79] 192  16/16 probes  | ETA 0.27h
INFO   [ 10/ 79] 216  16/16 probes  | ETA 0.27h
INFO   [ 11/ 79] 240  16/16 probes  | ETA 0.26h
INFO   [ 12/ 79] 264  16/16 probes  | ETA 0.26h
INFO   [ 13/ 79] 288  16/16 probes  | ETA 0.26h
INFO   [ 14/ 79] 312  16/16 probes  | ETA 0.25h
INFO   [ 15/ 79] 336  16/16 probes  | ETA 0.25h
INFO   [ 16/ 79] 360  16/16 probes  | ETA 0.25h
INFO   [ 17/ 79] 384  16/16 probes  | ETA 0.24h
INFO   [ 18/ 79] 408  16/16 probes  | ETA 0.24h
INFO   [ 19/ 79] 432  16/16 probes  | ETA 0.23h
INFO   [ 20/ 79] 456  16/16 probes  | ETA 0.23h
INFO   [ 21/ 79] 480  16/16 probes  | ETA 0.23h
INFO   [ 22/ 79] 504  16/16 probes  | ETA 0.22h
INFO   [ 23/ 79] 528  16/16 probes  | ETA 0.22h
INFO   [ 24/ 79] 552  16/16 probes  | ETA 0.21h
INFO   [ 25/ 79] 576  16/16 probes  | ETA 0.21h
INFO   [ 26/ 79] 600  16/16 probes  | ETA 0.21h
INFO   [ 27/ 79] 624  16/16 probes  | ETA 0.20h
INFO   [ 28/ 79] 648  16/16 probes  | ETA 0.20h
INFO   [ 29/ 79] 672  16/16 probes  | ETA 0.20h
INFO   [ 30/ 79] 696  16/16 probes  | ETA 0.19h
INFO   [ 31/ 79] 720  16/16 probes  | ETA 0.19h
INFO   [ 32/ 79] 744  16/16 probes  | ETA 0.18h
INFO   [ 33/ 79] 768  16/16 probes  | ETA 0.18h
INFO   [ 34/ 79] 792  16/16 probes  | ETA 0.18h
INFO   [ 35/ 79] 816  16/16 probes  | ETA 0.17h
INFO   [ 36/ 79] 840  16/16 probes  | ETA 0.17h
INFO   [ 37/ 79] 864  16/16 probes  | ETA 0.16h
INFO   [ 38/ 79] 888  16/16 probes  | ETA 0.16h
INFO   [ 39/ 79] 912  16/16 probes  | ETA 0.16h
INFO   [ 40/ 79] 936  16/16 probes  | ETA 0.15h
INFO   [ 41/ 79] 960  16/16 probes  | ETA 0.15h
INFO   [ 42/ 79] 984  16/16 probes  | ETA 0.14h
INFO   [ 43/ 79] 1008  16/16 probes  | ETA 0.14h
INFO   [ 44/ 79] 1032  16/16 probes  | ETA 0.14h
INFO   [ 45/ 79] 1056  16/16 probes  | ETA 0.13h
INFO   [ 46/ 79] 1080  16/16 probes  | ETA 0.13h
INFO   [ 47/ 79] 1104  16/16 probes  | ETA 0.12h
INFO   [ 48/ 79] 1128  16/16 probes  | ETA 0.12h
INFO   [ 49/ 79] 1152  16/16 probes  | ETA 0.12h
INFO   [ 50/ 79] 1176  16/16 probes  | ETA 0.11h
INFO   [ 51/ 79] 1200  16/16 probes  | ETA 0.11h
INFO   [ 52/ 79] 1224  16/16 probes  | ETA 0.11h
INFO   [ 53/ 79] 1248  16/16 probes  | ETA 0.10h
INFO   [ 54/ 79] 1272  16/16 probes  | ETA 0.10h
INFO   [ 55/ 79] 1296  16/16 probes  | ETA 0.09h
INFO   [ 56/ 79] 1320  16/16 probes  | ETA 0.09h
INFO   [ 57/ 79] 1344  16/16 probes  | ETA 0.09h
INFO   [ 58/ 79] 1368  16/16 probes  | ETA 0.08h
INFO   [ 59/ 79] 1392  16/16 probes  | ETA 0.08h
INFO   [ 60/ 79] 1416  16/16 probes  | ETA 0.07h
INFO   [ 61/ 79] 1440  16/16 probes  | ETA 0.07h
INFO   [ 62/ 79] 1464  16/16 probes  | ETA 0.07h
INFO   [ 63/ 79] 1488  16/16 probes  | ETA 0.06h
INFO   [ 64/ 79] 1512  16/16 probes  | ETA 0.06h
INFO   [ 65/ 79] 1536  16/16 probes  | ETA 0.05h
INFO   [ 66/ 79] 1560  16/16 probes  | ETA 0.05h
INFO   [ 67/ 79] 1584  16/16 probes  | ETA 0.05h
INFO   [ 68/ 79] 1608  16/16 probes  | ETA 0.04h
INFO   [ 69/ 79] 1632  16/16 probes  | ETA 0.04h
INFO   [ 70/ 79] 1656  16/16 probes  | ETA 0.04h
INFO   [ 71/ 79] 1680  16/16 probes  | ETA 0.03h
INFO   [ 72/ 79] 1704  16/16 probes  | ETA 0.03h
INFO   [ 73/ 79] 1728  16/16 probes  | ETA 0.02h
INFO   [ 74/ 79] 1752  16/16 probes  | ETA 0.02h
INFO   [ 75/ 79] 1776  16/16 probes  | ETA 0.02h
INFO   [ 76/ 79] 1800  16/16 probes  | ETA 0.01h
INFO   [ 77/ 79] 1824  16/16 probes  | ETA 0.01h
INFO   [ 78/ 79] 1848  16/16 probes  | ETA 0.00h
INFO   [ 79/ 79] 1872  16/16 probes  | ETA 0.00h
INFO Done in 18.5 min -> /homes/rm2125/Multi-Agent-Cooperative-Debate-via-KGs/experiments/23_masktest/results/bring_p2_all_0.jsonl
